1.00000000,0.05448402
2.00000000,0.05428000
3.00000000,0.05426200
4.00000000,0.05429114
5.00000000,0.05421042
6.00000000,0.05411002
7.00000000,0.05460014
8.00000000,0.05413397
9.00000000,0.05426535
10.00000000,0.05432532
11.00000000,0.05434607
12.00000000,0.05426184
13.00000000,0.05436713
14.00000000,0.05462516
15.00000000,0.05423148
16.00000000,0.05419394
17.00000000,0.05418250
18.00000000,0.05389517
19.00000000,0.05421347
20.00000000,0.05410346
21.00000000,0.05418799
22.00000000,0.05441413
23.00000000,0.05424872
24.00000000,0.05446952
25.00000000,0.05416327
26.00000000,0.05421027
27.00000000,0.05434684
28.00000000,0.05452003
29.00000000,0.05433005
30.00000000,0.05430243
31.00000000,0.05435737
32.00000000,0.05449607
33.00000000,0.05451484
34.00000000,0.05476158
35.00000000,0.05455589
36.00000000,0.05423987
37.00000000,0.05413245
38.00000000,0.05426780
39.00000000,0.05466438
40.00000000,0.05454490
41.00000000,0.05445304
42.00000000,0.05451728
43.00000000,0.05421515
44.00000000,0.05457359
45.00000000,0.05464927
46.00000000,0.05446326
47.00000000,0.05457740
48.00000000,0.05440345
49.00000000,0.05429862
50.00000000,0.05452537
51.00000000,0.05470573
52.00000000,0.05460716
53.00000000,0.05452201
54.00000000,0.05462577
55.00000000,0.05461143
56.00000000,0.05466255
57.00000000,0.05466758
58.00000000,0.05450538
59.00000000,0.05476890
60.00000000,0.05446723
61.00000000,0.05463050
62.00000000,0.05459281
63.00000000,0.05453666
64.00000000,0.05452110
65.00000000,0.05455009
66.00000000,0.05464012
67.00000000,0.05465171
68.00000000,0.05443275
69.00000000,0.05462425
70.00000000,0.05460487
71.00000000,0.05463645
72.00000000,0.05454826
73.00000000,0.05433845
74.00000000,0.05456764
75.00000000,0.05427527
76.00000000,0.05475288
77.00000000,0.05420722
78.00000000,0.05440146
79.00000000,0.05412680
80.00000000,0.05463493
81.00000000,0.05466804
82.00000000,0.05456306
83.00000000,0.05442786
84.00000000,0.05457221
85.00000000,0.05429892
86.00000000,0.05438163
87.00000000,0.05457313
88.00000000,0.05440467
89.00000000,0.05427604
90.00000000,0.05461173
91.00000000,0.05458000
92.00000000,0.05471809
93.00000000,0.05449531
94.00000000,0.05433814
95.00000000,0.05471305
96.00000000,0.05466789
97.00000000,0.05442557
98.00000000,0.05474052
99.00000000,0.05457740
100.00000000,0.05451835
101.00000000,0.05489296
102.00000000,0.05479149
103.00000000,0.05466957
104.00000000,0.05429419
105.00000000,0.05461830
106.00000000,0.05454292
107.00000000,0.05472023
108.00000000,0.05435142
109.00000000,0.05480308
110.00000000,0.05493385
111.00000000,0.05443305
112.00000000,0.05462150
113.00000000,0.05478294
114.00000000,0.05472053
