Time,Channel A
(ms),(V)

-0.00153100,1.92327642
-0.00089100,1.74687946
-0.00025100,1.39469588
0.00038900,1.21829891
0.00102900,0.86550492
0.00166900,0.51332134
0.00230900,0.33692434
0.00294900,-0.01525925
0.00358900,-0.19104587
0.00422900,-0.54383981
0.00486900,-0.72023684
0.00550900,-1.07242048
0.00614900,-1.42521441
0.00678900,-1.60100102
0.00742900,-1.95379496
0.00806900,-2.30597854
0.00870900,-2.48237562
0.00934900,-2.65877247
0.00998900,-3.01095605
0.01062900,-3.18735313
0.01126900,-3.36375022
0.01190900,-3.71593380
0.01254900,-3.89233065
0.01318900,-4.24512482
0.01382900,-4.42091131
0.01446900,-4.77370548
0.01510900,-4.95010233
0.01574900,-5.12588882
0.01638900,-5.47868299
0.01702900,-5.65507984
0.01766900,-5.83086634
0.01830900,-6.18366051
0.01894900,-6.36005735
0.01958900,-6.36005735
0.02022900,-6.71224117
0.02086900,-6.88863802
0.02150900,-7.06503487
0.02214900,-7.24082136
0.02278900,-7.24082136
0.02342900,-7.41721869
0.02406900,-7.59361553
0.02470900,-7.77001238
0.02534900,-7.94579935
0.02598900,-8.12219620
0.02662900,-8.12219620
0.02726900,-8.29859352
0.02790900,-8.29859352
0.02854900,-8.47498989
0.02918900,-8.47498989
0.02982900,-8.65077686
0.03046900,-8.65077686
0.03110900,-8.65077686
0.03174900,-8.82717323
0.03238900,-8.82717323
0.03302900,-8.82717323
0.03366900,-8.82717323
0.03430900,-8.82717323
0.03494900,-8.82717323
0.03558900,-9.00357056
0.03622900,-9.00357056
0.03686900,-9.00357056
0.03750900,-9.00357056
0.03814900,-8.82717323
0.03878900,-8.82717323
0.03942900,-8.82717323
0.04006900,-8.82717323
0.04070900,-8.82717323
0.04134900,-8.65077686
0.04198900,-8.65077686
0.04262900,-8.65077686
0.04326900,-8.47498989
0.04390900,-8.29859352
0.04454900,-8.29859352
0.04518900,-8.12219620
0.04582900,-8.12219620
0.04646900,-7.94579935
0.04710900,-7.77001238
0.04774900,-7.59361553
0.04838900,-7.59361553
0.04902900,-7.41721869
0.04966900,-7.24082136
0.05030900,-7.24082136
0.05094900,-6.88863802
0.05158900,-6.71224117
0.05222900,-6.53584385
0.05286900,-6.36005735
0.05350900,-6.18366051
0.05414900,-6.00726318
0.05478900,-5.83086634
0.05542900,-5.65507984
0.05606900,-5.30228567
0.05670900,-5.12588882
0.05734900,-4.95010233
0.05798900,-4.77370548
0.05862900,-4.42091131
0.05926900,-4.24512482
0.05990900,-4.06872749
0.06054900,-3.71593380
0.06118900,-3.54014707
0.06182900,-3.36375022
0.06246900,-3.01095605
0.06310900,-2.83516955
0.06374900,-2.65877247
0.06438900,-2.30597854
0.06502900,-2.13019204
0.06566900,-1.77739799
0.06630900,-1.60100102
0.06694900,-1.24881744
0.06758900,-1.07242048
0.06822900,-0.89602345
0.06886900,-0.54383981
0.06950900,-0.36744285
0.07014900,-0.19104587
0.07078900,0.16052736
0.07142900,0.33692434
0.07206900,0.68971831
0.07270900,0.86550492
0.07334900,1.21829891
0.07398900,1.57048249
