Time,Channel A
(ms),(V)

-0.00166900,1.74687946
-0.00102900,1.57048249
-0.00038900,1.57048249
0.00025100,1.21829891
0.00089100,1.04190195
0.00153100,1.04190195
0.00217100,0.86550492
0.00281100,0.68971831
0.00345100,0.51332134
0.00409100,0.33692434
0.00473100,0.33692434
0.00537100,0.16052736
0.00601100,0.16052736
0.00665100,-0.01525925
0.00729100,-0.19104587
0.00793100,-0.19104587
0.00857100,-0.19104587
0.00921100,-0.36744285
0.00985100,-0.36744285
0.01049100,-0.54383981
0.01113100,-0.54383981
0.01177100,-0.72023684
0.01241100,-0.72023684
0.01305100,-0.89602345
0.01369100,-0.89602345
0.01433100,-0.89602345
0.01497100,-1.07242048
0.01561100,-1.07242048
0.01625100,-1.07242048
0.01689100,-1.07242048
0.01753100,-1.07242048
0.01817100,-1.07242048
0.01881100,-1.24881744
0.01945100,-1.24881744
0.02009100,-1.07242048
0.02073100,-1.24881744
0.02137100,-1.24881744
0.02201100,-1.07242048
0.02265100,-1.07242048
0.02329100,-1.07242048
0.02393100,-1.07242048
0.02457100,-1.07242048
0.02521100,-1.07242048
0.02585100,-1.07242048
0.02649100,-1.07242048
0.02713100,-0.89602345
0.02777100,-0.89602345
0.02841100,-0.89602345
0.02905100,-0.89602345
0.02969100,-0.89602345
0.03033100,-0.72023684
0.03097100,-0.72023684
0.03161100,-0.54383981
0.03225100,-0.54383981
0.03289100,-0.54383981
0.03353100,-0.36744285
0.03417100,-0.36744285
0.03481100,-0.36744285
0.03545100,-0.19104587
0.03609100,-0.36744285
0.03673100,-0.19104587
0.03737100,-0.19104587
0.03801100,-0.19104587
0.03865100,-0.01525925
0.03929100,0.16052736
0.03993100,0.16052736
0.04057100,0.16052736
0.04121100,0.16052736
0.04185100,0.33692434
0.04249100,0.33692434
0.04313100,0.33692434
0.04377100,0.33692434
0.04441100,0.51332134
0.04505100,0.51332134
0.04569100,0.33692434
0.04633100,0.51332134
0.04697100,0.51332134
0.04761100,0.51332134
0.04825100,0.51332134
0.04889100,0.68971831
0.04953100,0.68971831
0.05017100,0.51332134
0.05081100,0.68971831
0.05145100,0.51332134
0.05209100,0.68971831
0.05273100,0.51332134
0.05337100,0.51332134
0.05401100,0.68971831
0.05465100,0.51332134
0.05529100,0.51332134
0.05593100,0.51332134
0.05657100,0.33692434
0.05721100,0.51332134
0.05785100,0.33692434
0.05849100,0.33692434
0.05913100,0.33692434
0.05977100,0.33692434
0.06041100,0.33692434
0.06105100,0.16052736
0.06169100,0.16052736
0.06233100,-0.01525925
0.06297100,-0.19104587
0.06361100,-0.19104587
0.06425100,-0.36744285
0.06489100,-0.36744285
0.06553100,-0.54383981
0.06617100,-0.54383981
0.06681100,-0.72023684
0.06745100,-0.72023684
0.06809100,-0.89602345
0.06873100,-1.07242048
0.06937100,-1.07242048
0.07001100,-1.24881744
0.07065100,-1.42521441
0.07129100,-1.60100102
0.07193100,-1.60100102
0.07257100,-1.77739799
0.07321100,-1.77739799
0.07385100,-1.95379496
0.07449100,-2.13019204
0.07513100,-2.30597854
0.07577100,-2.48237562
