Frequency,Channel A

0.00000000,-26.35006332
0.19073486,-33.83818436
0.38146973,-66.68409729
0.57220459,-48.64228821
0.76293945,-50.43821335
0.95367432,-47.74847031
1.14440918,-47.92567825
1.33514404,-50.88594818
1.52587891,-52.25939941
1.71661377,-48.25805664
1.90734863,-46.89038849
2.09808350,-46.87878418
2.28881836,-49.58578110
2.47955322,-66.01062775
2.67028809,-49.00020218
2.86102295,-48.54830933
3.05175781,-70.82200623
3.24249268,-50.45050049
3.43322754,-51.38679504
3.62396240,-52.27700806
3.81469727,-56.56924820
4.00543213,-69.72491455
4.19616699,-59.63070297
4.38690186,-55.37355042
4.57763672,-58.24240112
4.76837158,-58.36795807
4.95910645,-52.78734207
5.14984131,-49.99309540
5.34057617,-52.37618256
5.53131104,-49.95845795
5.72204590,-45.61399078
5.91278076,-49.92399597
6.10351562,-50.48823929
6.29425049,-45.56332016
6.48498535,-36.15107727
6.67572021,-10.69289112
6.86645508,0.80844885
7.05718994,3.44767594
7.24792480,-2.02369308
7.43865967,-14.88499832
7.62939453,-2.81697130
7.82012939,0.97269660
8.01086426,-3.12665129
8.20159912,-16.43227386
8.39233398,-40.30780411
8.58306885,-52.80755615
8.77380371,-45.81790924
8.96453857,-52.33904266
9.15527344,-53.64506149
9.34600830,-53.45434189
9.53674316,-50.39473724
9.72747803,-49.52507401
9.91821289,-51.27576828
10.10894775,-51.33136749
10.29968262,-54.48269272
10.49041748,-52.13756561
10.68115234,-49.88029861
10.87188721,-49.85826111
11.06262207,-54.48398209
11.25335693,-62.54946136
11.44409180,-58.08674240
11.63482666,-53.10840988
11.82556152,-54.46686172
12.01629639,-51.57600403
12.20703125,-50.55667496
12.39776611,-50.01887512
12.58850098,-52.20572662
12.77923584,-50.66191864
12.96997070,-50.37719727
13.16070557,-54.42197800
13.35144043,-65.81930542
13.54217529,-61.80229568
13.73291016,-53.40766144
13.92364502,-49.71015930
14.11437988,-48.77502060
14.30511475,-51.23445129
14.49584961,-55.38179398
14.68658447,-56.05328369
14.87731934,-57.39199066
15.06805420,-63.78648376
15.25878906,-54.86021042
15.44952393,-50.49777222
15.64025879,-47.57688141
15.83099365,-48.28710175
16.02172852,-53.86816025
16.21246338,-71.37449646
16.40319824,-52.13282776
16.59393311,-48.32799530
16.78466797,-52.39757919
16.97540283,-61.87729645
17.16613770,-66.36669922
17.35687256,-55.20652390
17.54760742,-50.44887161
17.73834229,-49.98687744
17.92907715,-51.62923813
18.11981201,-53.04600143
18.31054688,-53.20420074
18.50128174,-50.91373825
18.69201660,-54.07051468
18.88275146,-69.31137848
19.07348633,-65.11923981
19.26422119,-56.58272552
19.45495605,-55.68011856
19.64569092,-58.69377136
19.83642578,-60.12584305
20.02716064,-56.31239319
20.21789551,-54.68091583
20.40863037,-57.64811707
20.59936523,-60.20328903
20.79010010,-50.17470551
20.98083496,-49.47870636
21.17156982,-53.02176666
21.36230469,-54.64870071
21.55303955,-53.27603912
21.74377441,-57.99833679
21.93450928,-68.18558502
22.12524414,-53.18906403
22.31597900,-47.85908508
22.50671387,-48.74155045
22.69744873,-48.17644501
22.88818359,-47.32307816
23.07891846,-50.10598755
23.26965332,-57.26132202
23.46038818,-61.10375977
23.65112305,-56.94585800
23.84185791,-61.11711121
24.03259277,-55.39369965
24.22332764,-64.17678070
24.41406250,-51.61498260
24.60479736,-49.44523621
24.79553223,-50.53636169
24.98626709,-50.83350372
25.17700195,-54.55927277
25.36773682,-60.10160446
25.55847168,-58.80831909
25.74920654,-57.50272369
25.93994141,-49.70584106
26.13067627,-50.32921600
26.32141113,-54.15363693
26.51214600,-52.75010681
26.70288086,-49.44794083
26.89361572,-47.63990784
27.08435059,-54.66129303
27.27508545,-58.10943985
27.46582031,-55.27378082
27.65655518,-58.03942108
27.84729004,-56.47201920
28.03802490,-53.65188980
28.22875977,-49.16520691
28.41949463,-46.61889648
28.61022949,-49.20936584
28.80096436,-55.31352615
28.99169922,-56.08306503
29.18243408,-52.50541687
29.37316895,-54.93433380
29.56390381,-63.87700653
29.75463867,-54.72309875
29.94537354,-47.84863281
30.13610840,-45.80207062
30.32684326,-48.68885803
30.51757812,-54.93477631
30.70831299,-53.11965942
30.89904785,-54.98363876
31.08978271,-56.59670258
31.28051758,-56.35843277
31.47125244,-60.09943390
31.66198730,-57.36898804
31.85272217,-58.07051849
32.04345703,-59.26534271
32.23419189,-59.95449066
32.42492676,-67.20877075
32.61566162,-51.09413528
32.80639648,-45.39202881
32.99713135,-48.11643982
33.18786621,-63.00995255
33.37860107,-56.85353851
33.56933594,-53.68647766
33.76007080,-50.92027283
33.95080566,-51.03471756
34.14154053,-48.02292252
34.33227539,-45.90871429
34.52301025,-49.54966736
34.71374512,-61.56620789
34.90447998,-57.78707123
35.09521484,-55.75767136
35.28594971,-53.37485886
35.47668457,-53.17763519
35.66741943,-53.04128647
35.85815430,-56.10981369
36.04888916,-61.36173630
36.23962402,-58.48302460
36.43035889,-46.69985199
36.62109375,-43.79665375
36.81182861,-44.36522675
37.00256348,-46.71166229
37.19329834,-49.85829926
37.38403320,-48.01124191
37.57476807,-53.74005890
37.76550293,-63.13011169
37.95623779,-54.07961273
38.14697266,-51.66694641
38.33770752,-51.22945786
38.52844238,-52.49726868
38.71917725,-53.38162994
38.90991211,-56.69769287
39.10064697,-58.55990601
39.29138184,-64.34393311
39.48211670,-60.29395676
39.67285156,-54.12850189
39.86358643,-53.77738571
40.05432129,-67.54203033
40.24505615,-55.44926453
40.43579102,-52.90383911
40.62652588,-52.80605698
40.81726074,-52.76632309
41.00799561,-53.27433777
41.19873047,-51.21066284
41.38946533,-47.90824127
41.58020020,-46.73590851
41.77093506,-49.27203369
41.96166992,-50.25756454
42.15240479,-50.62590790
42.34313965,-51.39018250
42.53387451,-50.60176086
42.72460938,-50.43137360
42.91534424,-52.63340378
43.10607910,-54.05028534
43.29681396,-52.13850403
43.48754883,-52.57888794
43.67828369,-52.24136734
43.86901855,-49.93061447
44.05975342,-51.18275452
44.25048828,-56.75108337
44.44122314,-57.30025482
44.63195801,-53.51396942
44.82269287,-49.87514496
45.01342773,-48.07197189
45.20416260,-49.77692413
45.39489746,-55.94092941
45.58563232,-58.63035583
45.77636719,-54.92769241
45.96710205,-51.86587524
46.15783691,-54.40826035
46.34857178,-78.35147095
46.53930664,-57.44997406
46.73004150,-51.18629074
46.92077637,-52.03663635
47.11151123,-56.98215103
47.30224609,-63.41939926
47.49298096,-51.21015549
47.68371582,-51.04381561
47.87445068,-59.38335800
48.06518555,-58.19944000
48.25592041,-51.55036545
48.44665527,-47.28531265
48.63739014,-46.96126556
48.82812500,-48.95496368
49.01885986,-52.70896530
49.20959473,-55.37041473
49.40032959,-54.25168610
49.59106445,-59.41204453
49.78179932,-55.32154465
49.97253418,-54.40895462
50.16326904,-55.12306976
50.35400391,-66.54969025
50.54473877,-64.63830566
50.73547363,-58.45010376
50.92620850,-57.17605209
51.11694336,-53.37560272
51.30767822,-49.21318817
51.49841309,-46.34750366
51.68914795,-46.79122925
51.87988281,-50.70652390
52.07061768,-57.68000793
52.26135254,-57.64088058
52.45208740,-52.23222733
52.64282227,-54.49882889
52.83355713,-62.23424911
53.02429199,-62.71267319
53.21502686,-60.51357651
53.40576172,-57.20841217
53.59649658,-58.50146866
53.78723145,-58.74723434
53.97796631,-62.47396469
54.16870117,-53.51108932
54.35943604,-50.14574051
54.55017090,-53.64450836
54.74090576,-58.16780090
54.93164062,-62.17806244
55.12237549,-58.90240479
55.31311035,-52.23011017
55.50384521,-52.32965469
55.69458008,-51.44044876
55.88531494,-50.11012268
56.07604980,-55.92518616
56.26678467,-60.54554367
56.45751953,-51.40207291
56.64825439,-50.17224884
56.83898926,-52.48222351
57.02972412,-53.73190308
57.22045898,-53.10613632
57.41119385,-55.54037094
57.60192871,-53.22341919
57.79266357,-52.66675949
57.98339844,-57.47935486
58.17413330,-56.94615173
58.36486816,-64.44940186
58.55560303,-51.77706146
58.74633789,-52.01808167
58.93707275,-58.44837952
59.12780762,-53.54144287
59.31854248,-57.79909515
59.50927734,-62.17544937
59.70001221,-50.96008301
59.89074707,-50.05327225
60.08148193,-49.16381454
60.27221680,-47.72922897
60.46295166,-49.81553650
60.65368652,-51.52109146
60.84442139,-56.81373978
61.03515625,-60.31924438
61.22589111,-54.88510513
61.41662598,-57.39916992
61.60736084,-55.28156281
61.79809570,-52.19592667
61.98883057,-55.58059692
62.17956543,-50.73806381
62.37030029,-53.10283661
62.56103516,-54.94470978
62.75177002,-58.11540604
62.94250488,-62.16736603
63.13323975,-62.02328110
63.32397461,-59.12825012
63.51470947,-57.61188507
63.70544434,-52.74042511
63.89617920,-52.90353775
64.08691406,-57.16814041
64.27764893,-56.72633362
64.46838379,-59.72658539
64.65911865,-56.21749115
64.84985352,-50.03276062
65.04058838,-48.84320068
65.23132324,-50.51049805
65.42205811,-50.76613617
65.61279297,-56.68910217
65.80352783,-71.58883667
65.99426270,-51.13883591
66.18499756,-48.86347961
66.37573242,-51.14820480
66.56646729,-53.47650146
66.75720215,-55.76811981
66.94793701,-48.41133881
67.13867188,-46.84951401
67.32940674,-51.77881241
67.52014160,-55.62078094
67.71087646,-51.59563446
67.90161133,-57.97514343
68.09234619,-70.03632355
68.28308105,-62.42263031
68.47381592,-56.77103043
