Time,Channel A
(ms),(V)

-0.00169400,1.92327642
-0.00105400,1.74687946
-0.00041400,1.57048249
0.00022600,1.04190195
0.00086600,0.68971831
0.00150600,0.51332134
0.00214600,0.16052736
0.00278600,-0.01525925
0.00342600,-0.36744285
0.00406600,-0.72023684
0.00470600,-1.07242048
0.00534600,-1.24881744
0.00598600,-1.60100102
0.00662600,-1.77739799
0.00726600,-2.13019204
0.00790600,-2.48237562
0.00854600,-2.65877247
0.00918600,-2.83516955
0.00982600,-3.18735313
0.01046600,-3.54014707
0.01110600,-3.71593380
0.01174600,-3.89233065
0.01238600,-4.24512482
0.01302600,-4.59730816
0.01366600,-4.77370548
0.01430600,-4.95010233
0.01494600,-5.30228567
0.01558600,-5.47868299
0.01622600,-5.65507984
0.01686600,-6.00726318
0.01750600,-6.00726318
0.01814600,-6.36005735
0.01878600,-6.53584385
0.01942600,-6.88863802
0.02006600,-7.06503487
0.02070600,-7.24082136
0.02134600,-7.41721869
0.02198600,-7.59361553
0.02262600,-7.77001238
0.02326600,-7.77001238
0.02390600,-8.12219620
0.02454600,-8.12219620
0.02518600,-8.29859352
0.02582600,-8.47498989
0.02646600,-8.65077686
0.02710600,-8.65077686
0.02774600,-8.82717323
0.02838600,-8.82717323
0.02902600,-9.00357056
0.02966600,-9.00357056
0.03030600,-9.17996788
0.03094600,-9.35575390
0.03158600,-9.35575390
0.03222600,-9.35575390
0.03286600,-9.35575390
0.03350600,-9.35575390
0.03414600,-9.53215122
0.03478600,-9.53215122
0.03542600,-9.53215122
0.03606600,-9.53215122
0.03670600,-9.35575390
0.03734600,-9.53215122
0.03798600,-9.53215122
0.03862600,-9.53215122
0.03926600,-9.35575390
0.03990600,-9.35575390
0.04054600,-9.35575390
0.04118600,-9.35575390
0.04182600,-9.17996788
0.04246600,-9.17996788
0.04310600,-9.00357056
0.04374600,-9.00357056
0.04438600,-8.82717323
0.04502600,-8.65077686
0.04566600,-8.47498989
0.04630600,-8.47498989
0.04694600,-8.29859352
0.04758600,-8.29859352
0.04822600,-8.12219620
0.04886600,-7.94579935
0.04950600,-7.77001238
0.05014600,-7.59361553
0.05078600,-7.41721869
0.05142600,-7.24082136
0.05206600,-7.06503487
0.05270600,-6.88863802
0.05334600,-6.71224117
0.05398600,-6.53584385
0.05462600,-6.18366051
0.05526600,-6.00726318
0.05590600,-5.83086634
0.05654600,-5.47868299
0.05718600,-5.30228567
0.05782600,-5.12588882
0.05846600,-4.95010233
0.05910600,-4.59730816
0.05974600,-4.42091131
0.06038600,-4.06872749
0.06102600,-3.89233065
0.06166600,-3.54014707
0.06230600,-3.36375022
0.06294600,-3.18735313
0.06358600,-2.83516955
0.06422600,-2.65877247
0.06486600,-2.30597854
0.06550600,-2.13019204
0.06614600,-1.77739799
0.06678600,-1.60100102
0.06742600,-1.24881744
0.06806600,-0.89602345
0.06870600,-0.54383981
0.06934600,-0.36744285
0.06998600,-0.19104587
0.07062600,0.33692434
0.07126600,0.51332134
0.07190600,0.68971831
0.07254600,1.04190195
0.07318600,1.21829891
0.07382600,1.57048249
