Time,Channel A
(ms),(V)

-0.00172700,2.09967351
-0.00108700,1.74687946
-0.00044700,1.57048249
0.00019300,1.21829891
0.00083300,0.86550492
0.00147300,0.68971831
0.00211300,0.51332134
0.00275300,0.16052736
0.00339300,-0.19104587
0.00403300,-0.36744285
0.00467300,-0.54383981
0.00531300,-0.89602345
0.00595300,-1.07242048
0.00659300,-1.42521441
0.00723300,-1.60100102
0.00787300,-1.77739799
0.00851300,-2.13019204
0.00915300,-2.30597854
0.00979300,-2.48237562
0.01043300,-2.83516955
0.01107300,-3.18735313
0.01171300,-3.18735313
0.01235300,-3.54014707
0.01299300,-3.71593380
0.01363300,-3.89233065
0.01427300,-4.06872749
0.01491300,-4.42091131
0.01555300,-4.42091131
0.01619300,-4.77370548
0.01683300,-4.95010233
0.01747300,-5.12588882
0.01811300,-5.30228567
0.01875300,-5.47868299
0.01939300,-5.65507984
0.02003300,-5.83086634
0.02067300,-6.00726318
0.02131300,-6.00726318
0.02195300,-6.36005735
0.02259300,-6.36005735
0.02323300,-6.53584385
0.02387300,-6.71224117
0.02451300,-6.88863802
0.02515300,-6.88863802
0.02579300,-7.06503487
0.02643300,-7.06503487
0.02707300,-7.24082136
0.02771300,-7.24082136
0.02835300,-7.24082136
0.02899300,-7.41721869
0.02963300,-7.41721869
0.03027300,-7.41721869
0.03091300,-7.59361553
0.03155300,-7.59361553
0.03219300,-7.59361553
0.03283300,-7.77001238
0.03347300,-7.59361553
0.03411300,-7.59361553
0.03475300,-7.77001238
0.03539300,-7.77001238
0.03603300,-7.59361553
0.03667300,-7.59361553
0.03731300,-7.59361553
0.03795300,-7.59361553
0.03859300,-7.59361553
0.03923300,-7.41721869
0.03987300,-7.41721869
0.04051300,-7.41721869
0.04115300,-7.41721869
0.04179300,-7.24082136
0.04243300,-7.24082136
0.04307300,-7.24082136
0.04371300,-6.88863802
0.04435300,-6.88863802
0.04499300,-6.71224117
0.04563300,-6.71224117
0.04627300,-6.71224117
0.04691300,-6.53584385
0.04755300,-6.36005735
0.04819300,-6.18366051
0.04883300,-6.00726318
0.04947300,-5.83086634
0.05011300,-5.83086634
0.05075300,-5.65507984
0.05139300,-5.47868299
0.05203300,-5.47868299
0.05267300,-5.12588882
0.05331300,-4.95010233
0.05395300,-4.95010233
0.05459300,-4.77370548
0.05523300,-4.42091131
0.05587300,-4.24512482
0.05651300,-4.06872749
0.05715300,-3.89233065
0.05779300,-3.89233065
0.05843300,-3.54014707
0.05907300,-3.36375022
0.05971300,-3.18735313
0.06035300,-3.01095605
0.06099300,-2.83516955
0.06163300,-2.65877247
0.06227300,-2.30597854
0.06291300,-2.30597854
0.06355300,-2.13019204
0.06419300,-1.95379496
0.06483300,-1.77739799
0.06547300,-1.42521441
0.06611300,-1.24881744
0.06675300,-1.07242048
0.06739300,-0.89602345
0.06803300,-0.54383981
0.06867300,-0.54383981
0.06931300,-0.19104587
0.06995300,-0.01525925
0.07059300,0.16052736
0.07123300,0.33692434
0.07187300,0.51332134
0.07251300,0.68971831
0.07315300,1.04190195
0.07379300,1.21829891
