(us);(V)

-25.02736243;5.12955093
-25.01736243;5.04104757
-25.00736243;5.12955093
-24.99736243;5.21805477
-24.98736243;5.12955093
-24.97736243;5.21805477
-24.96736243;5.04104757
-24.95736243;5.04104757
-24.94736243;5.12955093
-24.93736243;5.21805477
-24.92736243;5.12955093
-24.91736243;5.12955093
-24.90736243;5.12955093
-24.89736243;5.12955093
-24.88736243;5.04104757
-24.87736243;5.12955093
-24.86736243;5.12955093
-24.85736243;5.12955093
-24.84736243;5.12955093
-24.83736243;5.04104757
-24.82736243;5.04104757
-24.81736243;5.21805477
-24.80736243;5.21805477
-24.79736243;5.12955093
-24.78736243;5.12955093
-24.77736243;5.04104757
-24.76736243;5.12955093
-24.75736243;5.21805477
-24.74736243;5.21805477
-24.73736243;5.12955093
-24.72736243;5.12955093
-24.71736243;5.12955093
-24.70736243;5.12955093
-24.69736243;5.12955093
-24.68736243;5.12955093
-24.67736243;5.12955093
-24.66736243;5.12955093
-24.65736243;5.12955093
-24.64736243;5.12955093
-24.63736243;5.04104757
-24.62736243;5.21805477
-24.61736243;5.12955093
-24.60736243;5.12955093
-24.59736243;5.21805477
-24.58736243;5.04104757
-24.57736243;5.04104757
-24.56736243;5.21805477
-24.55736243;5.21805477
-24.54736243;5.12955093
-24.53736243;5.12955093
-24.52736243;5.04104757
-24.51736243;5.04104757
-24.50736243;5.21805477
-24.49736243;5.21805477
-24.48736243;5.12955093
-24.47736243;5.12955093
-24.46736243;5.12955093
-24.45736243;5.12955093
-24.44736243;5.12955093
-24.43736243;5.21805477
-24.42736243;5.12955093
-24.41736243;5.12955093
-24.40736243;5.12955093
-24.39736243;5.04104757
-24.38736243;5.04104757
-24.37736243;5.21805477
-24.36736243;5.12955093
-24.35736243;5.12955093
-24.34736243;5.12955093
-24.33736243;5.04104757
-24.32736243;5.04104757
-24.31736243;5.21805477
-24.30736243;5.21805477
-24.29736243;5.12955093
-24.28736243;5.12955093
-24.27736243;5.12955093
-24.26736243;5.04104757
-24.25736243;5.12955093
-24.24736243;5.21805477
-24.23736243;5.12955093
-24.22736243;5.12955093
-24.21736243;5.12955093
-24.20736243;5.04104757
-24.19736243;5.12955093
-24.18736243;5.21805477
-24.17736243;5.12955093
-24.16736243;5.12955093
-24.15736243;5.12955093
-24.14736243;5.12955093
-24.13736243;5.04104757
-24.12736243;5.21805477
-24.11736243;5.12955093
-24.10736243;5.12955093
-24.09736243;5.12955093
-24.08736243;5.04104757
-24.07736243;5.04104757
-24.06736243;5.21805477
-24.05736243;5.12955093
-24.04736243;5.12955093
-24.03736243;5.12955093
-24.02736243;5.12955093
-24.01736243;5.04104757
-24.00736243;5.12955093
