(us);(V)

-25.02205280;5.04104757
-25.01205280;4.95254374
-25.00205280;5.21805477
-24.99205280;5.21805477
-24.98205280;5.12955093
-24.97205280;5.21805477
-24.96205280;5.04104757
-24.95205280;5.04104757
-24.94205280;5.21805477
-24.93205280;5.21805477
-24.92205280;5.12955093
-24.91205280;5.12955093
-24.90205280;5.12955093
-24.89205280;5.04104757
-24.88205280;5.12955093
-24.87205280;5.21805477
-24.86205280;5.21805477
-24.85205280;5.21805477
-24.84205280;5.12955093
-24.83205280;5.04104757
-24.82205280;5.04104757
-24.81205280;5.21805477
-24.80205280;5.21805477
-24.79205280;5.12955093
-24.78205280;5.12955093
-24.77205280;5.04104757
-24.76205280;5.12955093
-24.75205280;5.21805477
-24.74205280;5.21805477
-24.73205280;5.12955093
-24.72205280;5.12955093
-24.71205280;5.12955093
-24.70205280;5.12955093
-24.69205280;5.12955093
-24.68205280;5.21805477
-24.67205280;5.12955093
-24.66205280;5.21805477
-24.65205280;5.12955093
-24.64205280;5.04104757
-24.63205280;5.12955093
-24.62205280;5.21805477
-24.61205280;5.12955093
-24.60205280;5.21805477
-24.59205280;5.12955093
-24.58205280;5.04104757
-24.57205280;5.12955093
-24.56205280;5.21805477
-24.55205280;5.21805477
-24.54205280;5.12955093
-24.53205280;5.12955093
-24.52205280;5.04104757
-24.51205280;5.12955093
-24.50205280;5.21805477
-24.49205280;5.21805477
-24.48205280;5.12955093
-24.47205280;5.12955093
-24.46205280;5.12955093
-24.45205280;5.04104757
-24.44205280;5.21805477
-24.43205280;5.21805477
-24.42205280;5.12955093
-24.41205280;5.21805477
-24.40205280;5.04104757
-24.39205280;5.04104757
-24.38205280;5.12955093
-24.37205280;5.21805477
-24.36205280;5.12955093
-24.35205280;5.12955093
-24.34205280;5.12955093
-24.33205280;5.04104757
-24.32205280;5.12955093
-24.31205280;5.21805477
-24.30205280;5.12955093
-24.29205280;5.12955093
-24.28205280;5.12955093
-24.27205280;5.12955093
-24.26205280;5.04104757
-24.25205280;5.21805477
-24.24205280;5.12955093
-24.23205280;5.12955093
-24.22205280;5.12955093
-24.21205280;5.04104757
-24.20205280;5.04104757
-24.19205280;5.12955093
-24.18205280;5.12955093
-24.17205280;5.12955093
-24.16205280;5.12955093
-24.15205280;5.12955093
-24.14205280;5.04104757
-24.13205280;5.12955093
-24.12205280;5.21805477
-24.11205280;5.12955093
-24.10205280;5.21805477
-24.09205280;5.12955093
-24.08205280;5.04104757
-24.07205280;5.12955093
-24.06205280;5.21805477
-24.05205280;5.12955093
-24.04205280;5.12955093
-24.03205280;5.12955093
-24.02205280;5.12955093
-24.01205280;5.04104757
-24.00205280;5.21805477
-23.99205280;5.21805477
-23.98205280;5.12955093
-23.97205280;5.12955093
-23.96205280;5.12955093
-23.95205280;5.04104757
-23.94205280;5.21805477
-23.93205280;5.12955093
-23.92205280;5.12955093
-23.91205280;5.12955093
-23.90205280;5.12955093
-23.89205280;5.12955093
-23.88205280;5.12955093
-23.87205280;5.21805477
-23.86205280;5.12955093
-23.85205280;5.12955093
-23.84205280;5.12955093
-23.83205280;5.04104757
-23.82205280;5.04104757
-23.81205280;5.21805477
-23.80205280;5.12955093
-23.79205280;5.12955093
-23.78205280;5.12955093
-23.77205280;5.12955093
-23.76205280;5.04104757
-23.75205280;5.21805477
-23.74205280;5.12955093
-23.73205280;5.12955093
-23.72205280;5.12955093
-23.71205280;5.04104757
-23.70205280;5.04104757
-23.69205280;5.21805477
-23.68205280;5.12955093
-23.67205280;5.12955093
-23.66205280;5.12955093
-23.65205280;5.12955093
-23.64205280;5.04104757
-23.63205280;5.21805477
-23.62205280;5.12955093
-23.61205280;5.12955093
-23.60205280;5.12955093
-23.59205280;5.12955093
-23.58205280;5.04104757
-23.57205280;5.12955093
-23.56205280;5.21805477
-23.55205280;5.12955093
-23.54205280;5.12955093
-23.53205281;5.12955093
-23.52205281;5.12955093
-23.51205281;5.04104757
-23.50205281;5.21805477
-23.49205281;5.21805477
-23.48205281;5.12955093
-23.47205281;5.12955093
-23.46205281;5.12955093
-23.45205281;5.04104757
-23.44205281;5.21805477
-23.43205281;5.21805477
-23.42205281;5.12955093
-23.41205281;5.12955093
-23.40205281;5.04104757
-23.39205281;5.04104757
-23.38205281;5.12955093
-23.37205281;5.12955093
-23.36205281;5.12955093
-23.35205281;5.12955093
-23.34205281;5.12955093
-23.33205281;5.04104757
-23.32205281;5.12955093
-23.31205281;5.21805477
