(us);(V)

-25.02954521;5.12955093
-25.01954521;5.04104757
-25.00954521;5.04104757
-24.99954521;5.21805477
-24.98954521;5.12955093
-24.97954521;5.12955093
-24.96954521;5.12955093
-24.95954521;5.04104757
-24.94954521;5.04104757
-24.93954521;5.21805477
-24.92954521;5.21805477
-24.91954521;5.12955093
-24.90954521;5.12955093
-24.89954521;5.12955093
-24.88954521;5.04104757
-24.87954521;5.12955093
-24.86954521;5.21805477
-24.85954521;5.12955093
-24.84954521;5.12955093
-24.83954521;5.12955093
-24.82954521;5.04104757
-24.81954521;5.12955093
-24.80954521;5.21805477
-24.79954521;5.12955093
-24.78954521;5.12955093
-24.77954521;5.12955093
-24.76954521;5.12955093
-24.75954521;5.04104757
-24.74954522;5.21805477
-24.73954522;5.12955093
-24.72954522;5.12955093
-24.71954522;5.12955093
-24.70954522;5.12955093
-24.69954522;5.04104757
-24.68954522;5.12955093
-24.67954522;5.12955093
-24.66954522;5.12955093
-24.65954522;5.21805477
-24.64954522;5.12955093
-24.63954522;5.04104757
-24.62954522;5.12955093
-24.61954522;5.21805477
-24.60954522;5.12955093
-24.59954522;5.21805477
-24.58954522;5.12955093
-24.57954522;5.04104757
-24.56954522;5.12955093
-24.55954522;5.21805477
-24.54954522;5.21805477
-24.53954522;5.21805477
-24.52954522;5.12955093
-24.51954522;5.04104757
-24.50954522;5.12955093
-24.49954522;5.21805477
-24.48954522;5.12955093
-24.47954522;5.12955093
-24.46954522;5.12955093
-24.45954522;5.12955093
-24.44954522;5.04104757
-24.43954522;5.21805477
-24.42954522;5.12955093
-24.41954522;5.12955093
-24.40954522;5.21805477
-24.39954522;5.12955093
-24.38954522;5.04104757
-24.37954522;5.12955093
-24.36954522;5.12955093
-24.35954522;5.12955093
-24.34954522;5.12955093
-24.33954522;5.12955093
-24.32954522;5.04104757
-24.31954522;5.12955093
-24.30954522;5.12955093
-24.29954522;5.12955093
-24.28954522;5.12955093
-24.27954522;5.12955093
-24.26954522;5.04104757
