(us);(V)
-16.90770081;5.12955093
-16.89770081;5.12955093
-16.88770081;5.04104757
-16.87770081;5.21805477
-16.86770081;5.21805477
-16.85770081;5.12955093
-16.84770081;5.12955093
-16.83770081;5.04104757
-16.82770081;5.04104757
-16.81770081;5.21805477
-16.80770081;5.21805477
-16.79770081;5.12955093
-16.78770081;5.12955093
-16.77770081;5.12955093
-16.76770081;5.12955093
-16.75770081;5.12955093
-16.74770081;5.12955093
-16.73770081;5.12955093
-16.72770081;5.21805477
-16.71770081;5.12955093
-16.70770081;5.04104757
-16.69770081;5.04104757
-16.68770081;5.21805477
-16.67770081;5.12955093
-16.66770081;5.12955093
-16.65770081;5.12955093
-16.64770081;5.04104757
-16.63770081;5.12955093
-16.62770081;5.21805477
-16.61770081;5.12955093
-16.60770081;5.21805477
-16.59770081;5.12955093
-16.58770081;5.12955093
-16.57770081;5.04104757
-16.56770081;5.21805477
-16.55770081;5.21805477
-16.54770081;5.12955093
-16.53770081;5.12955093
-16.52770081;5.04104757
-16.51770081;5.04104757
-16.50770081;5.12955093
-16.49770081;5.12955093
-16.48770081;5.12955093
-16.47770081;5.04104757
-16.46770081;5.12955093
-16.45770081;5.12955093
-16.44770081;5.12955093
-16.43770081;5.21805477
-16.42770081;5.12955093
-16.41770081;5.12955093
-16.40770081;5.12955093
-16.39770081;5.04104757
-16.38770081;5.04104757
-16.37770081;5.21805477
-16.36770081;5.21805477
-16.35770081;5.12955093
-16.34770081;5.12955093
-16.33770081;5.12955093
-16.32770081;5.04104757
-16.31770081;5.12955093
-16.30770081;5.12955093
-16.29770081;5.12955093
-16.28770081;5.12955093
-16.27770081;5.04104757
-16.26770081;5.04104757
-16.25770081;5.12955093
-16.24770081;5.21805477
-16.23770081;5.12955093
-16.22770081;5.12955093
-16.21770081;5.12955093
-16.20770081;5.04104757
-16.19770081;5.12955093
-16.18770081;5.12955093
-16.17770081;5.12955093
-16.16770081;5.12955093
-16.15770081;5.12955093
-16.14770081;5.12955093
-16.13770081;5.04104757
-16.12770081;5.21805477
-16.11770081;5.12955093
-16.10770081;5.12955093
-16.09770081;5.12955093
-16.08770081;5.04104757
-16.07770081;5.04104757
-16.06770081;5.12955093
-16.05770081;5.12955093
-16.04770081;5.12955093
-16.03770081;5.12955093
-16.02770081;5.12955093
-16.01770081;5.04104757
-16.00770081;5.12955093
-15.99770081;5.12955093
-15.98770081;5.12955093
-15.97770081;5.12955093
-15.96770081;5.04104757
-15.95770081;5.04104757
-15.94770081;5.12955093
-15.93770081;5.12955093
-15.92770081;5.12955093
-15.91770081;5.12955093
-15.90770081;5.12955093
-15.89770081;5.12955093
-15.88770081;5.04104757
-15.87770081;5.12955093
-15.86770081;5.12955093
-15.85770081;5.12955093
-15.84770081;5.21805477
-15.83770081;5.12955093
-15.82770081;5.12955093
-15.81770081;5.12955093
-15.80770081;5.12955093
-15.79770081;5.12955093
-15.78770081;5.12955093
-15.77770081;5.12955093
-15.76770081;5.04104757
-15.75770081;5.12955093
-15.74770081;5.12955093
-15.73770081;5.12955093
-15.72770081;5.21805477
-15.71770081;5.12955093
-15.70770081;5.04104757
-15.69770081;5.12955093
-15.68770081;5.21805477
-15.67770081;5.12955093
-15.66770081;5.12955093
-15.65770082;5.12955093
-15.64770082;5.12955093
-15.63770082;5.04104757
-15.62770082;5.21805477
-15.61770082;5.21805477
-15.60770082;5.04104757
-15.59770082;5.04104757
-15.58770082;5.04104757
-15.57770082;5.12955093
-15.56770082;5.21805477
-15.55770082;5.12955093
-15.54770082;5.12955093
-15.53770082;5.12955093
-15.52770082;5.04104757
-15.51770082;5.04104757
-15.50770082;5.04104757
-15.49770082;5.12955093
-15.48770082;5.21805477
-15.47770082;5.21805477
-15.46770082;5.04104757
-15.45770082;4.95254374
-15.44770082;5.04104757
-15.43770082;5.21805477
-15.42770082;5.21805477
-15.41770082;5.12955093
-15.40770082;5.04104757
-15.39770082;5.04104757
-15.38770082;5.12955093
-15.37770082;5.21805477
-15.36770082;5.21805477
-15.35770082;5.12955093
-15.34770082;5.12955093
-15.33770082;5.12955093
-15.32770082;5.12955093
-15.31770082;5.12955093
-15.30770082;5.21805477
-15.29770082;5.12955093
-15.28770082;5.12955093
-15.27770082;5.12955093
-15.26770082;5.12955093
-15.25770082;5.12955093
-15.24770082;5.21805477
-15.23770082;5.12955093
-15.22770082;5.21805477
-15.21770082;5.12955093
-15.20770082;5.12955093
-15.19770082;5.04104757
-15.18770082;5.12955093
-15.17770082;5.21805477
-15.16770082;5.12955093
-15.15770082;5.12955093
-15.14770082;5.12955093
-15.13770082;5.04104757
-15.12770082;5.21805477
-15.11770082;5.12955093
-15.10770082;5.12955093
-15.09770082;5.21805477
-15.08770082;5.12955093
-15.07770082;5.04104757
-15.06770082;5.21805477
-15.05770082;5.21805477
-15.04770082;5.12955093
-15.03770082;5.12955093
-15.02770082;5.12955093
-15.01770082;5.04104757
-15.00770082;5.12955093
-14.99770082;5.21805477
-14.98770082;5.12955093
-14.97770082;5.12955093
-14.96770082;5.12955093
-14.95770082;5.12955093
-14.94770082;5.04104757
-14.93770082;5.21805477
-14.92770082;5.21805477
-14.91770082;5.12955093
-14.90770082;5.12955093
-14.89770082;5.12955093
-14.88770082;5.04104757
-14.87770082;5.12955093
-14.86770082;5.21805477
-14.85770082;5.12955093
-14.84770082;5.12955093
-14.83770082;5.04104757
-14.82770082;5.04104757
-14.81770082;5.21805477
-14.80770082;5.21805477
-14.79770082;5.12955093
-14.78770082;5.12955093
-14.77770082;5.04104757
-14.76770082;5.04104757
-14.75770082;5.12955093
-14.74770082;5.21805477
-14.73770082;5.12955093
-14.72770082;5.21805477
-14.71770082;5.12955093
-14.70770082;5.04104757
-14.69770082;5.12955093
-14.68770082;5.21805477
-14.67770082;5.12955093
-14.66770082;5.12955093
-14.65770082;5.12955093
-14.64770082;5.04104757
-14.63770082;5.04104757
-14.62770082;5.12955093
-14.61770082;5.12955093
-14.60770082;5.12955093
-14.59770082;5.21805477
-14.58770082;5.12955093
-14.57770082;5.04104757
-14.56770082;5.12955093
-14.55770082;5.21805477
-14.54770082;5.12955093
