Frequency,Channel A

0.00000000,-21.78203201
0.19073486,-27.68087769
0.38146973,-36.70259094
0.57220459,-44.24102020
0.76293945,-49.21817780
0.95367432,-49.47197723
1.14440918,-51.50067902
1.33514404,-51.36789322
1.52587891,-54.28440475
1.71661377,-31.79469681
1.90734863,-10.93887806
2.09808350,-3.05038190
2.28881836,-3.56464529
2.47955322,-12.66814232
2.67028809,-34.47500610
2.86102295,-56.47325516
3.05175781,-59.74126816
3.24249268,-56.19624710
3.43322754,-65.58943176
3.62396240,-53.68972778
3.81469727,-50.73851776
4.00543213,-50.72804260
4.19616699,-44.43437958
4.38690186,-26.26255035
4.57763672,-15.90660477
4.76837158,-13.55036259
4.95910645,-18.90788460
5.14984131,-34.92152023
5.34057617,-51.26560974
5.53131104,-50.57083893
5.72204590,-45.23153687
5.91278076,-47.84323883
6.10351562,-54.03213120
6.29425049,-48.09415817
6.48498535,-49.67792130
6.67572021,-48.99980164
6.86645508,-46.28122330
7.05718994,-47.57583237
7.24792480,-49.30615997
7.43865967,-56.71001434
7.62939453,-57.54790497
7.82012939,-64.32459259
8.01086426,-46.58408356
8.20159912,-42.34671021
8.39233398,-43.47257996
8.58306885,-49.80178070
8.77380371,-53.06754303
8.96453857,-46.43062592
9.15527344,-45.99788666
9.34600830,-48.96578217
9.53674316,-48.61915970
9.72747803,-46.11463547
9.91821289,-47.01100159
10.10894775,-52.62241364
10.29968262,-53.95094299
10.49041748,-61.34302521
10.68115234,-50.34218216
10.87188721,-47.85045624
11.06262207,-49.09918213
11.25335693,-55.62614441
11.44409180,-55.13620758
11.63482666,-54.10882950
11.82556152,-59.99899292
12.01629639,-52.33749008
12.20703125,-54.36752701
12.39776611,-52.57055664
12.58850098,-48.90733337
12.77923584,-47.26845169
12.96997070,-47.67845535
13.16070557,-48.64774323
13.35144043,-51.13361740
13.54217529,-50.08024216
13.73291016,-47.79269409
13.92364502,-48.67031860
14.11437988,-56.13364792
14.30511475,-58.94959259
14.49584961,-60.68153381
14.68658447,-53.14086914
14.87731934,-55.48692703
15.06805420,-50.62628937
15.25878906,-49.23349762
15.44952393,-51.66169739
15.64025879,-58.06348419
15.83099365,-58.13273621
16.02172852,-49.43115997
16.21246338,-48.28096390
16.40319824,-51.88948059
16.59393311,-48.18370438
16.78466797,-48.12533951
16.97540283,-51.05694580
17.16613770,-48.75473404
17.35687256,-48.53667450
17.54760742,-49.00807190
17.73834229,-48.65890121
17.92907715,-49.52555084
18.11981201,-60.45043564
18.31054688,-56.01989365
18.50128174,-65.13542938
18.69201660,-53.44446564
18.88275146,-52.46258545
19.07348633,-51.68541718
19.26422119,-47.52584839
19.45495605,-49.49834824
19.64569092,-53.62151337
19.83642578,-59.98865509
20.02716064,-56.40802383
20.21789551,-52.63950729
20.40863037,-51.88214111
20.59936523,-53.13439941
20.79010010,-49.92882156
20.98083496,-49.42035294
21.17156982,-49.28321075
21.36230469,-46.90814972
21.55303955,-50.76839828
21.74377441,-47.92842102
21.93450928,-45.08831406
22.12524414,-46.97769928
22.31597900,-49.38499451
22.50671387,-51.59868622
22.69744873,-51.95217896
22.88818359,-52.99425125
23.07891846,-48.78086472
23.26965332,-44.31172180
23.46038818,-44.43653107
23.65112305,-46.20177460
23.84185791,-47.43755341
24.03259277,-50.46520615
24.22332764,-58.24451447
24.41406250,-57.62222672
24.60479736,-52.74081802
24.79553223,-49.41591263
24.98626709,-46.80110550
25.17700195,-49.32011414
25.36773682,-52.51909256
25.55847168,-50.87078094
25.74920654,-47.84847641
25.93994141,-50.18297195
26.13067627,-53.46218872
26.32141113,-53.36770630
26.51214600,-58.97083664
26.70288086,-64.75199890
26.89361572,-51.92414093
27.08435059,-51.54390335
27.27508545,-66.67612457
27.46582031,-49.81575775
27.65655518,-47.07264328
27.84729004,-48.25062180
28.03802490,-46.87474060
28.22875977,-46.46420288
28.41949463,-49.68387985
28.61022949,-53.80016327
28.80096436,-50.19928360
28.99169922,-47.94781113
29.18243408,-52.06882858
29.37316895,-58.46139908
29.56390381,-58.51914978
29.75463867,-51.40827560
29.94537354,-49.83396912
30.13610840,-51.44323730
30.32684326,-52.70992661
30.51757812,-55.62585449
30.70831299,-61.83553696
30.89904785,-64.16322327
31.08978271,-62.92224121
31.28051758,-59.01258469
31.47125244,-62.54553223
31.66198730,-60.95107651
31.85272217,-58.74446869
32.04345703,-60.61470413
32.23419189,-55.33279800
32.42492676,-53.18275452
32.61566162,-57.33304977
32.80639648,-56.01222992
32.99713135,-52.03474426
33.18786621,-65.29999542
33.37860107,-50.69108582
33.56933594,-46.36173630
33.76007080,-46.63772202
33.95080566,-49.54033279
34.14154053,-54.43910599
34.33227539,-63.02795792
34.52301025,-53.55190659
34.71374512,-59.71343994
34.90447998,-63.62726593
35.09521484,-68.38417816
35.28594971,-57.63245392
35.47668457,-50.86904144
35.66741943,-51.38250732
35.85815430,-57.89875412
36.04888916,-68.03987122
36.23962402,-55.20342255
36.43035889,-48.81431580
36.62109375,-46.04177475
36.81182861,-48.09072495
37.00256348,-54.99477768
37.19329834,-54.22190094
37.38403320,-62.40054321
37.57476807,-50.87348175
37.76550293,-49.09934616
37.95623779,-55.06624222
38.14697266,-56.21908188
38.33770752,-48.10165787
38.52844238,-49.53786469
38.71917725,-59.74111938
38.90991211,-53.53461838
39.10064697,-58.06698608
39.29138184,-56.00457764
39.48211670,-55.45894623
39.67285156,-54.56783676
39.86358643,-52.84493256
40.05432129,-54.24974823
40.24505615,-53.26124191
40.43579102,-54.88757706
40.62652588,-51.89677429
40.81726074,-50.37359619
41.00799561,-55.18968201
41.19873047,-52.37282181
41.38946533,-52.98419952
41.58020020,-53.74114990
41.77093506,-51.86434174
41.96166992,-49.97004700
42.15240479,-50.40748596
42.34313965,-56.36887360
42.53387451,-53.64368820
42.72460938,-53.58452606
42.91534424,-52.40217590
43.10607910,-52.75865555
43.29681396,-52.19589615
43.48754883,-48.35968781
43.67828369,-49.34665298
43.86901855,-51.19519806
44.05975342,-54.46584702
44.25048828,-61.91291046
44.44122314,-52.47377777
44.63195801,-47.80349350
44.82269287,-50.00768661
45.01342773,-53.51284027
45.20416260,-58.59657288
45.39489746,-57.52875900
45.58563232,-62.52954865
45.77636719,-52.24986267
45.96710205,-52.48689651
46.15783691,-54.33826828
46.34857178,-52.94729233
46.53930664,-50.67153549
46.73004150,-49.53257751
46.92077637,-50.28588104
47.11151123,-55.27179718
47.30224609,-55.92207336
47.49298096,-52.90901184
47.68371582,-51.68985748
47.87445068,-48.80014801
48.06518555,-50.64679718
48.25592041,-57.49387360
48.44665527,-54.90496826
48.63739014,-56.16516113
48.82812500,-54.26136780
49.01885986,-51.80658340
49.20959473,-65.02290344
49.40032959,-48.64838028
49.59106445,-46.08058167
49.78179932,-50.02612305
49.97253418,-57.90756226
50.16326904,-56.00402069
50.35400391,-51.81319809
50.54473877,-50.84434128
50.73547363,-52.11222076
50.92620850,-49.48869324
51.11694336,-51.98741913
51.30767822,-55.01327133
51.49841309,-53.00952148
51.68914795,-57.89226532
51.87988281,-57.61970520
52.07061768,-55.43569565
52.26135254,-49.86326599
52.45208740,-47.55960083
52.64282227,-53.66598129
52.83355713,-65.04978943
53.02429199,-64.00466919
53.21502686,-58.66756821
53.40576172,-54.11151505
53.59649658,-64.07692719
53.78723145,-55.11342621
53.97796631,-51.14697266
