Frequency,Channel A

0.00000000,-24.33172226
0.19073486,-31.22719955
0.38146973,-44.47410202
0.57220459,-50.37772369
0.76293945,-53.18584824
0.95367432,-48.65058136
1.14440918,-47.56196594
1.33514404,-58.03407669
1.52587891,-51.70513535
1.71661377,-54.12822723
1.90734863,-50.70792389
2.09808350,-34.65196228
2.28881836,-11.11295509
2.47955322,-1.49644005
2.67028809,-0.46422631
2.86102295,-7.63082600
3.05175781,-26.39960098
3.24249268,-53.19450378
3.43322754,-50.22003555
3.62396240,-57.13535690
3.81469727,-54.59896469
4.00543213,-59.19309616
4.19616699,-52.99900055
4.38690186,-27.30846024
4.57763672,-15.97777176
4.76837158,-13.52502632
4.95910645,-18.93857193
5.14984131,-34.48966217
5.34057617,-53.92349243
5.53131104,-62.15501785
5.72204590,-54.41988373
5.91278076,-51.10990524
6.10351562,-47.67046356
6.29425049,-50.70875549
6.48498535,-52.65866852
6.67572021,-52.30760193
6.86645508,-53.08451080
7.05718994,-53.32349777
7.24792480,-51.39093399
7.43865967,-50.80728531
7.62939453,-46.46137619
7.82012939,-44.16021729
8.01086426,-45.71609116
8.20159912,-48.63642120
8.39233398,-49.62806702
8.58306885,-51.10947418
8.77380371,-48.98303986
8.96453857,-50.55588531
9.15527344,-55.04975891
9.34600830,-58.68909836
9.53674316,-59.55909729
9.72747803,-51.93429565
9.91821289,-50.44914246
10.10894775,-51.66766739
10.29968262,-48.82477570
10.49041748,-47.57244873
10.68115234,-49.20228577
10.87188721,-49.59960556
11.06262207,-47.23514557
11.25335693,-48.07730103
11.44409180,-49.20907593
11.63482666,-49.82870483
11.82556152,-49.02665710
12.01629639,-49.80032349
12.20703125,-52.15220642
12.39776611,-57.22323990
12.58850098,-55.27372360
12.77923584,-50.36743927
12.96997070,-53.86524200
13.16070557,-45.43864441
13.35144043,-46.01862335
13.54217529,-57.02835083
13.73291016,-55.85769653
13.92364502,-52.25896454
14.11437988,-50.81348419
14.30511475,-52.05306244
14.49584961,-51.07459641
14.68658447,-50.52359009
14.87731934,-60.09071350
15.06805420,-68.95758820
15.25878906,-62.26927948
15.44952393,-70.81275940
15.64025879,-52.00216293
15.83099365,-47.38172150
16.02172852,-48.87774658
16.21246338,-48.32120895
16.40319824,-47.77042770
16.59393311,-51.39957428
16.78466797,-55.94265366
16.97540283,-53.56534958
17.16613770,-47.25922012
17.35687256,-45.32790756
17.54760742,-46.90350342
17.73834229,-47.08795929
17.92907715,-45.91533279
18.11981201,-48.57377625
18.31054688,-46.84492493
18.50128174,-46.91550827
18.69201660,-51.17309189
18.88275146,-54.70641327
19.07348633,-49.21041870
19.26422119,-47.04345322
19.45495605,-51.08329773
19.64569092,-55.08540344
19.83642578,-50.02626038
20.02716064,-50.68549347
20.21789551,-56.13885498
20.40863037,-58.96645355
20.59936523,-51.38167953
20.79010010,-53.04516220
20.98083496,-53.37960052
21.17156982,-51.00803375
21.36230469,-51.83147812
21.55303955,-63.74128342
21.74377441,-52.77222061
21.93450928,-50.34461975
22.12524414,-56.90023041
22.31597900,-68.80770874
22.50671387,-60.99082565
22.69744873,-62.88932037
22.88818359,-61.04579926
23.07891846,-58.61984634
23.26965332,-59.96014404
23.46038818,-61.38821411
23.65112305,-55.18025208
23.84185791,-52.85270691
24.03259277,-54.97104263
24.22332764,-59.05818939
24.41406250,-52.32801056
24.60479736,-48.31163025
24.79553223,-46.72721863
24.98626709,-48.38352966
25.17700195,-48.52266312
25.36773682,-46.51372910
25.55847168,-46.30649185
25.74920654,-48.07780457
25.93994141,-51.11201477
26.13067627,-55.88247681
26.32141113,-61.39780045
26.51214600,-63.26319122
26.70288086,-58.70555496
26.89361572,-55.69399261
27.08435059,-53.04023743
27.27508545,-53.53357697
27.46582031,-52.14168549
27.65655518,-54.88037491
27.84729004,-46.54404449
28.03802490,-47.59213257
28.22875977,-57.37131500
28.41949463,-65.81214905
28.61022949,-59.50992203
28.80096436,-52.59145737
28.99169922,-50.85877991
29.18243408,-56.56348801
29.37316895,-58.56892395
29.56390381,-75.19432831
29.75463867,-60.63958740
29.94537354,-60.87988281
30.13610840,-55.17729187
30.32684326,-50.51187515
30.51757812,-50.40704346
30.70831299,-46.79505157
30.89904785,-47.59590912
31.08978271,-49.48471069
31.28051758,-50.78833008
31.47125244,-50.70996094
31.66198730,-49.41610336
31.85272217,-53.20335007
32.04345703,-59.99053955
32.23419189,-71.52419281
32.42492676,-59.72141266
32.61566162,-56.55902863
32.80639648,-53.08052063
32.99713135,-54.52152634
33.18786621,-54.75364304
33.37860107,-53.32740021
33.56933594,-56.11888504
33.76007080,-56.84219360
33.95080566,-55.48738861
34.14154053,-57.97313690
34.33227539,-56.16573715
34.52301025,-55.19467926
34.71374512,-59.24665451
34.90447998,-64.39446259
35.09521484,-63.00427246
35.28594971,-56.77512741
35.47668457,-50.38496017
35.66741943,-55.57551575
35.85815430,-56.48346710
36.04888916,-50.85702515
36.23962402,-53.50588226
36.43035889,-58.47495651
36.62109375,-54.02097321
36.81182861,-64.64797211
37.00256348,-50.96311951
37.19329834,-49.72997665
37.38403320,-48.64469147
37.57476807,-46.43629456
37.76550293,-46.13393402
37.95623779,-51.86978912
38.14697266,-52.31065369
38.33770752,-48.74049377
38.52844238,-48.43041992
38.71917725,-51.24974060
38.90991211,-55.18928528
39.10064697,-54.13791656
39.29138184,-51.58100128
39.48211670,-47.27942657
39.67285156,-50.53818130
39.86358643,-58.40280914
40.05432129,-56.31517792
40.24505615,-54.00690460
40.43579102,-55.15153885
40.62652588,-59.18571854
40.81726074,-62.84235382
41.00799561,-50.51575089
41.19873047,-49.27608109
41.38946533,-59.07836533
41.58020020,-56.83430099
41.77093506,-53.80838394
41.96166992,-56.78233337
42.15240479,-58.36542130
42.34313965,-49.29040909
42.53387451,-49.63376999
42.72460938,-53.52369308
42.91534424,-51.22709656
43.10607910,-53.41651154
43.29681396,-52.62290192
43.48754883,-53.62008667
43.67828369,-54.90054321
43.86901855,-56.52577972
44.05975342,-55.97145081
44.25048828,-56.78339005
44.44122314,-64.69113159
44.63195801,-58.10279465
44.82269287,-52.79059601
45.01342773,-50.72089386
45.20416260,-50.25873184
