Frequency,Channel A

0.00000000,-26.34184837
0.19073486,-32.98386002
0.38146973,-44.76678467
0.57220459,-56.45554352
0.76293945,-54.76344681
0.95367432,-52.81166077
1.14440918,-50.31251907
1.33514404,-47.59545135
1.52587891,-46.50719452
1.71661377,-53.58311462
1.90734863,-58.77287292
2.09808350,-51.63961792
2.28881836,-61.90952682
2.47955322,-53.18602753
2.67028809,-46.43146515
2.86102295,-38.77783585
3.05175781,-11.58706474
3.24249268,0.37025449
3.43322754,3.30390120
3.62396240,-1.71405089
3.81469727,-16.68058205
4.00543213,-55.17330170
4.19616699,-55.60045242
4.38690186,-27.69699097
4.57763672,-16.60711479
4.76837158,-14.15132332
4.95910645,-19.34445572
5.14984131,-34.78469467
5.34057617,-49.04434967
5.53131104,-50.92800903
5.72204590,-49.12912750
5.91278076,-51.43389893
6.10351562,-53.26062012
6.29425049,-61.33007050
6.48498535,-59.79092026
6.67572021,-53.88565063
6.86645508,-59.24732590
7.05718994,-58.07014465
7.24792480,-53.04344177
7.43865967,-54.09387970
7.62939453,-49.72370148
7.82012939,-49.26985168
8.01086426,-51.24848938
8.20159912,-52.13262558
8.39233398,-57.64530945
8.58306885,-48.35204315
8.77380371,-46.71387100
8.96453857,-49.88892365
9.15527344,-53.53552246
9.34600830,-54.76152420
9.53674316,-49.61177063
9.72747803,-47.55874634
9.91821289,-44.69744873
10.10894775,-43.09927368
10.29968262,-42.78022385
10.49041748,-45.69184113
10.68115234,-57.44628525
10.87188721,-62.39220047
11.06262207,-60.78830338
11.25335693,-58.06533813
11.44409180,-54.80112457
11.63482666,-56.97534561
11.82556152,-58.87416840
12.01629639,-49.02630615
12.20703125,-45.55099869
12.39776611,-47.10071564
12.58850098,-57.20866776
12.77923584,-63.67375946
12.96997070,-51.99341583
13.16070557,-49.61539841
13.35144043,-50.78036499
13.54217529,-52.00526810
13.73291016,-50.12417221
13.92364502,-52.28519058
14.11437988,-57.78582764
14.30511475,-61.81042480
14.49584961,-60.91983414
14.68658447,-61.60328674
14.87731934,-53.41146469
15.06805420,-52.28403091
15.25878906,-50.06111145
15.44952393,-52.71726608
15.64025879,-55.12342834
15.83099365,-59.10432816
16.02172852,-49.95097733
16.21246338,-54.16837311
16.40319824,-65.37568665
16.59393311,-58.48553085
16.78466797,-49.75642395
16.97540283,-49.93265533
17.16613770,-49.68842316
17.35687256,-48.07582092
17.54760742,-51.24390030
17.73834229,-57.23637009
17.92907715,-51.34904861
18.11981201,-49.36828232
18.31054688,-46.72920990
18.50128174,-47.82302856
18.69201660,-60.71359634
18.88275146,-52.94230652
19.07348633,-49.16280365
19.26422119,-51.37237549
19.45495605,-56.69899750
19.64569092,-61.18347931
19.83642578,-61.87379837
20.02716064,-66.03163147
20.21789551,-63.03894806
20.40863037,-57.35791779
20.59936523,-49.97874451
20.79010010,-49.16162872
20.98083496,-51.01761627
21.17156982,-51.44309998
21.36230469,-50.88974380
21.55303955,-50.79146957
21.74377441,-52.33338928
21.93450928,-53.51535416
22.12524414,-53.99835205
22.31597900,-56.37033463
22.50671387,-73.10354614
22.69744873,-68.04276276
22.88818359,-64.02898407
23.07891846,-49.98776245
23.26965332,-48.75406647
23.46038818,-55.60872650
23.65112305,-50.00323486
23.84185791,-66.26835632
24.03259277,-45.10729980
24.22332764,-43.62679291
24.41406250,-48.51808167
24.60479736,-55.74842072
24.79553223,-48.38354111
24.98626709,-49.01081085
25.17700195,-52.27719879
25.36773682,-47.50446320
25.55847168,-50.04409790
25.74920654,-51.06697845
25.93994141,-50.01445007
26.13067627,-50.06185150
26.32141113,-51.64976120
26.51214600,-54.45018005
26.70288086,-60.77902985
26.89361572,-58.59683990
27.08435059,-54.55768204
27.27508545,-56.37435913
27.46582031,-60.68074799
27.65655518,-56.74158478
27.84729004,-53.91559219
28.03802490,-49.78667831
28.22875977,-51.49656296
28.41949463,-55.47843552
28.61022949,-55.25827408
28.80096436,-52.51686859
28.99169922,-53.22336578
29.18243408,-53.09877014
29.37316895,-51.55883789
29.56390381,-55.98704529
29.75463867,-59.18832779
29.94537354,-51.96914673
30.13610840,-51.93527985
30.32684326,-50.77040863
30.51757812,-49.97039032
30.70831299,-56.63832092
30.89904785,-51.25548935
31.08978271,-48.99224854
31.28051758,-51.39385223
31.47125244,-55.35888672
31.66198730,-54.03356171
31.85272217,-55.34493256
32.04345703,-47.89220428
32.23419189,-46.47417450
32.42492676,-49.43491364
32.61566162,-50.76355362
32.80639648,-54.07758713
32.99713135,-62.72592926
33.18786621,-65.79179382
33.37860107,-60.21356201
33.56933594,-55.10785675
33.76007080,-61.70166779
33.95080566,-55.50011063
34.14154053,-54.51657867
34.33227539,-50.81982040
34.52301025,-51.62618256
34.71374512,-84.97950745
34.90447998,-52.30331802
35.09521484,-53.04396820
35.28594971,-66.43186951
35.47668457,-52.64529800
35.66741943,-47.23865509
35.85815430,-45.67528152
36.04888916,-45.57410431
36.23962402,-45.01615906
36.43035889,-46.01201630
36.62109375,-48.12960815
36.81182861,-50.03003693
37.00256348,-61.49322510
37.19329834,-55.31479263
37.38403320,-50.76126480
37.57476807,-49.02565002
37.76550293,-54.59745026
37.95623779,-61.02597046
38.14697266,-57.45557785
38.33770752,-58.07757950
38.52844238,-54.05037308
