Frequency,Channel A

0.00000000,-23.59853554
0.19073486,-30.87823868
0.38146973,-45.74907684
0.57220459,-51.46290207
0.76293945,-53.92863846
0.95367432,-47.93083954
1.14440918,-49.10482407
1.33514404,-54.07221985
1.52587891,-57.09334946
1.71661377,-50.65270233
1.90734863,-51.30802917
2.09808350,-61.97318268
2.28881836,-55.74851990
2.47955322,-54.97795486
2.67028809,-51.12020111
2.86102295,-56.39814758
3.05175781,-60.91837311
3.24249268,-42.82807159
3.43322754,-25.14702797
3.62396240,-4.56122446
3.81469727,3.61978650
4.00543213,3.55516005
4.19616699,-4.76113701
4.38690186,-27.79616547
4.57763672,-17.56960106
4.76837158,-15.18846416
4.95910645,-20.37852859
5.14984131,-36.58824539
5.34057617,-60.56589508
5.53131104,-52.52014542
5.72204590,-51.15995026
5.91278076,-48.19845581
6.10351562,-50.80164337
6.29425049,-54.29073334
6.48498535,-58.58981705
6.67572021,-65.36597443
6.86645508,-59.77240753
7.05718994,-62.51966476
7.24792480,-59.88421631
7.43865967,-56.24440765
7.62939453,-61.31156540
7.82012939,-66.30484772
8.01086426,-55.71537018
8.20159912,-55.00062943
8.39233398,-62.70217133
8.58306885,-53.48860931
8.77380371,-50.60736847
8.96453857,-51.37413025
9.15527344,-52.18576431
9.34600830,-56.11653137
9.53674316,-53.06475830
9.72747803,-54.79415512
9.91821289,-64.44477081
10.10894775,-54.17864227
10.29968262,-53.27098083
10.49041748,-56.31134796
10.68115234,-50.32011414
10.87188721,-47.03432465
11.06262207,-48.43727112
11.25335693,-47.84535217
11.44409180,-45.66693115
11.63482666,-45.47092819
11.82556152,-43.86064148
12.01629639,-44.80321884
12.20703125,-45.35182571
12.39776611,-43.25240707
12.58850098,-44.43473053
12.77923584,-51.55107880
12.96997070,-65.36064911
13.16070557,-52.70370483
13.35144043,-53.56826401
13.54217529,-52.27262878
13.73291016,-60.59871674
13.92364502,-59.51499939
14.11437988,-54.45002747
14.30511475,-53.50318909
14.49584961,-51.64462280
14.68658447,-49.98513794
14.87731934,-58.45838165
15.06805420,-50.64369583
15.25878906,-49.50422668
15.44952393,-60.82114792
15.64025879,-48.40197754
15.83099365,-50.42789841
16.02172852,-49.95455933
16.21246338,-52.11157227
16.40319824,-56.22090912
16.59393311,-51.08562851
16.78466797,-55.71842575
16.97540283,-51.91017914
17.16613770,-46.87071991
17.35687256,-46.97865295
17.54760742,-52.12889862
17.73834229,-56.87131882
17.92907715,-54.95052719
18.11981201,-65.40023804
18.31054688,-55.04084015
18.50128174,-59.80889130
18.69201660,-52.06048584
18.88275146,-46.78926468
19.07348633,-47.90268707
19.26422119,-46.28982925
19.45495605,-46.61448669
19.64569092,-47.55113220
19.83642578,-50.11590958
20.02716064,-56.76726532
20.21789551,-50.50362396
20.40863037,-47.54341507
20.59936523,-49.89914703
20.79010010,-60.00799561
20.98083496,-50.75551605
21.17156982,-56.31534576
21.36230469,-56.48233795
21.55303955,-49.64682007
21.74377441,-49.32758713
21.93450928,-50.76734543
22.12524414,-53.45964432
22.31597900,-71.99497986
22.50671387,-65.40696716
22.69744873,-60.66198730
22.88818359,-56.29212189
23.07891846,-69.81625366
23.26965332,-51.84480286
23.46038818,-48.38047791
23.65112305,-51.05547333
23.84185791,-51.99772644
24.03259277,-48.55503082
24.22332764,-50.81992340
24.41406250,-71.62895966
24.60479736,-54.54898071
24.79553223,-49.77692413
24.98626709,-45.45267105
25.17700195,-46.50360870
25.36773682,-56.88214874
25.55847168,-54.05050659
25.74920654,-47.66648102
25.93994141,-47.08335876
26.13067627,-55.48850632
26.32141113,-59.26094055
26.51214600,-49.02825928
26.70288086,-44.28021240
26.89361572,-47.70332718
27.08435059,-51.36489105
27.27508545,-49.35930252
27.46582031,-50.73535919
27.65655518,-55.01918030
27.84729004,-51.24769592
28.03802490,-47.11866760
28.22875977,-50.16605759
28.41949463,-55.92529297
28.61022949,-56.75167084
28.80096436,-57.18946838
28.99169922,-62.89341736
29.18243408,-57.70861053
29.37316895,-51.96375275
29.56390381,-50.14476395
29.75463867,-54.15526581
29.94537354,-63.14097595
30.13610840,-59.42272186
30.32684326,-54.70157623
30.51757812,-54.97442627
30.70831299,-54.87512207
30.89904785,-53.77668762
31.08978271,-52.22858047
31.28051758,-53.95141602
31.47125244,-56.17817688
31.66198730,-59.58463287
31.85272217,-67.91381836
32.04345703,-66.52542877
32.23419189,-64.05233765
32.42492676,-55.34271622
32.61566162,-50.59227371
32.80639648,-49.07183838
32.99713135,-52.93044662
33.18786621,-54.64009094
33.37860107,-56.65016937
33.56933594,-65.56389618
33.76007080,-57.92198944
33.95080566,-68.10918427
34.14154053,-55.76675797
34.33227539,-60.84079361
34.52301025,-51.42656708
34.71374512,-46.75348282
34.90447998,-46.57307434
35.09521484,-53.17913055
35.28594971,-54.50377655
35.47668457,-49.88607025
35.66741943,-57.27119827
35.85815430,-60.50270081
36.04888916,-50.97930527
36.23962402,-51.51933289
36.43035889,-56.92570114
36.62109375,-61.72528839
36.81182861,-57.63250732
37.00256348,-53.05778122
37.19329834,-52.41757965
37.38403320,-52.07079315
37.57476807,-53.80610657
37.76550293,-58.81906509
37.95623779,-59.38751221
38.14697266,-57.43905640
38.33770752,-61.72045135
38.52844238,-58.50433731
38.71917725,-52.00143814
38.90991211,-51.26784897
39.10064697,-56.51591873
39.29138184,-57.37791061
39.48211670,-53.04191208
39.67285156,-51.85651779
39.86358643,-54.13011551
40.05432129,-52.70293427
40.24505615,-54.10692215
40.43579102,-56.49641418
40.62652588,-58.11759186
40.81726074,-58.61182404
41.00799561,-52.84669495
41.19873047,-51.37128448
41.38946533,-55.18362045
41.58020020,-68.58875275
41.77093506,-63.32043076
41.96166992,-57.51792145
42.15240479,-55.82605362
42.34313965,-54.37648773
42.53387451,-54.38079453
42.72460938,-49.10081482
42.91534424,-48.88808441
43.10607910,-53.12385941
43.29681396,-54.47517014
43.48754883,-59.40985870
43.67828369,-57.33948517
43.86901855,-56.04297256
44.05975342,-54.10754776
44.25048828,-62.45663071
44.44122314,-61.20388412
44.63195801,-59.78472137
44.82269287,-64.93228149
45.01342773,-64.05252075
45.20416260,-55.34837341
45.39489746,-49.41375732
45.58563232,-49.46659470
45.77636719,-50.84260559
45.96710205,-51.09235382
46.15783691,-51.68791962
46.34857178,-51.68035507
46.53930664,-48.08539581
46.73004150,-46.77704239
46.92077637,-49.70241165
47.11151123,-56.99100494
47.30224609,-73.72521210
47.49298096,-56.32629013
47.68371582,-56.68170166
47.87445068,-62.13296890
48.06518555,-61.17316818
48.25592041,-61.65185928
48.44665527,-55.03424835
48.63739014,-54.70916748
48.82812500,-56.16349792
49.01885986,-57.62586212
49.20959473,-72.68244934
49.40032959,-68.39878845
49.59106445,-59.99146271
49.78179932,-53.58437347
49.97253418,-54.03795242
50.16326904,-53.34240341
50.35400391,-49.98571777
50.54473877,-49.39722443
50.73547363,-49.32398224
50.92620850,-48.59342575
51.11694336,-47.51314545
51.30767822,-46.12487793
51.49841309,-47.49448776
51.68914795,-50.84703827
51.87988281,-49.21981430
52.07061768,-49.59770966
52.26135254,-55.26228333
52.45208740,-53.07327652
52.64282227,-50.54306030
52.83355713,-55.33308029
53.02429199,-57.43402481
53.21502686,-50.72694778
53.40576172,-53.41555023
53.59649658,-58.35198975
53.78723145,-57.35070038
53.97796631,-57.91157150
54.16870117,-70.09332275
54.35943604,-54.41447830
54.55017090,-53.47253418
54.74090576,-62.99293900
54.93164062,-61.60549927
55.12237549,-54.88854218
55.31311035,-54.14525604
55.50384521,-52.64093781
55.69458008,-51.00006485
55.88531494,-55.30587769
56.07604980,-63.80113983
56.26678467,-57.10777664
56.45751953,-59.39472961
56.64825439,-55.93246841
56.83898926,-49.98149109
57.02972412,-50.56726456
57.22045898,-55.62876892
57.41119385,-56.91135025
57.60192871,-53.42829895
57.79266357,-53.00320435
57.98339844,-59.72004700
58.17413330,-61.51253128
58.36486816,-58.25622559
58.55560303,-52.89994049
58.74633789,-51.70528030
58.93707275,-58.21801758
59.12780762,-55.45460510
59.31854248,-49.70329666
