Time (UTC +02:00 M/d/yyyy h:mm:ss tt),Peak to peak (A) (V),Frequency (A) (Hz)
4/28/2025 4:38:06 PM,0.0071291244,125.00001
4/28/2025 4:38:06 PM,0.009802546,459.28867
4/28/2025 4:38:06 PM,0.008911405,2007.7812
4/28/2025 4:38:06 PM,0.005346843,2577.5728
4/28/2025 4:38:06 PM,0.005346843,3662.4363
4/28/2025 4:38:06 PM,0.0044557024,149690.42
4/28/2025 4:38:06 PM,0.0062379837,4159.5566
4/28/2025 4:38:06 PM,0.005346843,3718.72
4/28/2025 4:38:06 PM,0.0062379837,3333.926
4/28/2025 4:38:06 PM,0.008020265,2379.8809
4/28/2025 4:38:06 PM,0.0044557024,163168.67
4/28/2025 4:38:06 PM,0.009802546,666.0272
4/28/2025 4:38:06 PM,0.0044557024,3199.6587
4/28/2025 4:38:06 PM,0.0071291244,249.8401
4/28/2025 4:38:06 PM,0.0062379837,1415.7355
4/28/2025 4:38:06 PM,0.0044557024,2315.7175
4/28/2025 4:38:06 PM,0.008020265,1816.5789
4/28/2025 4:38:06 PM,0.0071291244,166.5068
4/28/2025 4:38:06 PM,0.0071291244,3124.5195
4/28/2025 4:38:06 PM,0.0062379837,1632.0669
4/28/2025 4:38:07 PM,0.005346843,1811.3317
4/28/2025 4:38:07 PM,0.005346843,2419.0564
4/28/2025 4:38:07 PM,0.008020265,4087.6392
4/28/2025 4:38:07 PM,0.0044557024,148371.52
4/28/2025 4:38:07 PM,0.0044557024,142336.64
4/28/2025 4:38:07 PM,0.0062379837,1138.8484
4/28/2025 4:38:07 PM,0.0044557024,144772.2
4/28/2025 4:38:07 PM,0.005346843,2871.8657
4/28/2025 4:38:07 PM,0.0044557024,137179.02
4/28/2025 4:38:07 PM,0.0071291244,1999.3604
4/28/2025 4:38:07 PM,0.0071291244,249.99998
4/28/2025 4:38:07 PM,0.005346843,1000.7473
4/28/2025 4:38:07 PM,0.008020265,117457.86
4/28/2025 4:38:07 PM,0.0062379837,562.61707
4/28/2025 4:38:07 PM,0.008020265,1457.7502
4/28/2025 4:38:07 PM,0.0071291244,1657.532
4/28/2025 4:38:07 PM,0.0062379837,4218.173
4/28/2025 4:38:07 PM,0.0044557024,143090.83
4/28/2025 4:38:07 PM,0.0062379837,3202.3306
4/28/2025 4:38:07 PM,0.0035645622,2951.413
4/28/2025 4:38:07 PM,0.0035645622,3333.926
4/28/2025 4:38:07 PM,0.0044557024,154808.08
4/28/2025 4:38:07 PM,0.0044557024,153549.14
4/28/2025 4:38:07 PM,0.003564562,2246.4058
4/28/2025 4:38:07 PM,0.0044557024,153788.58
4/28/2025 4:38:07 PM,0.0044557024,3923.626
4/28/2025 4:38:07 PM,0.003564562,1887.3455
4/28/2025 4:38:07 PM,0.0071291244,1990.5795
4/28/2025 4:38:07 PM,0.0035645622,2175.8953
4/28/2025 4:38:07 PM,0.003564562,1708.5839
4/28/2025 4:38:07 PM,0.0044557024,157689.92
4/28/2025 4:38:07 PM,0.0071291244,1333.1912
4/28/2025 4:38:07 PM,0.0044557024,158270.9
4/28/2025 4:38:08 PM,0.0044557024,137791.19
4/28/2025 4:38:08 PM,0.0062379837,128175.4
4/28/2025 4:38:08 PM,0.0062379837,791.8609
4/28/2025 4:38:08 PM,0.0062379837,1110.9927
4/28/2025 4:38:08 PM,0.005346843,1706.4069
4/28/2025 4:38:08 PM,0.008911405,2664.2002
4/28/2025 4:38:08 PM,0.0044557024,3634.6604
4/28/2025 4:38:08 PM,0.0062379837,500.35226
4/28/2025 4:38:08 PM,0.0035645622,2549.4822
4/28/2025 4:38:08 PM,0.008911405,124.99999
4/28/2025 4:38:08 PM,0.0062379837,995.22296
4/28/2025 4:38:08 PM,0.008020265,3872.0847
