Frequency,Channel A

0.00000000,-25.03492546
0.19073486,-32.56376648
0.38146973,-57.76753235
0.57220459,-50.14843369
0.76293945,-49.51163864
0.95367432,-49.26693344
1.14440918,-56.69969177
1.33514404,-53.20442581
1.52587891,-51.19990540
1.71661377,-51.78347778
1.90734863,-51.49439240
2.09808350,-53.57019043
2.28881836,-54.90927124
2.47955322,-54.68386841
2.67028809,-52.09634781
2.86102295,-53.16467285
3.05175781,-50.69890976
3.24249268,-56.76151276
3.43322754,-49.66434860
3.62396240,-52.41402054
3.81469727,-50.52696228
4.00543213,-50.93967819
4.19616699,-35.45581818
4.38690186,-11.86395073
4.57763672,-0.73082530
4.76837158,1.68152285
4.95910645,-3.73072577
5.14984131,-18.67967796
5.34057617,-55.98315811
5.53131104,-46.36972427
5.72204590,-56.26111984
5.91278076,-54.61193466
6.10351562,-51.75273132
6.29425049,-57.29259109
6.48498535,-56.52046204
6.67572021,-52.25932693
6.86645508,-48.51988220
7.05718994,-50.38432693
7.24792480,-49.12334442
7.43865967,-53.24830627
7.62939453,-52.16678619
7.82012939,-52.97213745
8.01086426,-64.15740204
8.20159912,-51.68701172
8.39233398,-53.85301971
8.58306885,-48.95201111
8.77380371,-45.98863983
8.96453857,-27.63117027
9.15527344,-11.25472832
9.34600830,-4.32568026
9.53674316,-4.92700672
9.72747803,-13.53880787
9.91821289,-32.30016327
10.10894775,-49.51649094
10.29968262,-48.45085526
10.49041748,-51.33094788
10.68115234,-59.32474136
10.87188721,-50.49163437
11.06262207,-50.26182175
11.25335693,-49.78292465
11.44409180,-60.62607193
11.63482666,-61.52078247
11.82556152,-64.75360107
12.01629639,-59.40422821
12.20703125,-63.81090546
12.39776611,-65.52368927
12.58850098,-55.95727539
12.77923584,-48.75086975
12.96997070,-50.00134277
13.16070557,-53.18429565
13.35144043,-59.10571671
13.54217529,-60.39403915
13.73291016,-57.12065887
13.92364502,-54.15943527
14.11437988,-49.82616043
14.30511475,-45.96258163
14.49584961,-46.43056870
14.68658447,-51.16161346
14.87731934,-55.00634766
15.06805420,-62.10489273
15.25878906,-53.56068420
15.44952393,-52.43289185
15.64025879,-58.98065567
15.83099365,-57.09666443
16.02172852,-54.21476746
16.21246338,-54.85893250
16.40319824,-55.19499969
16.59393311,-53.96218872
16.78466797,-55.66587448
16.97540283,-62.78511047
17.16613770,-69.09495544
17.35687256,-54.19353104
17.54760742,-50.43550491
17.73834229,-50.11796570
17.92907715,-52.24018097
18.11981201,-53.67992783
18.31054688,-48.35239029
18.50128174,-44.54249954
18.69201660,-48.04099274
18.88275146,-54.08609390
19.07348633,-47.31589890
19.26422119,-49.24777985
19.45495605,-56.29062271
19.64569092,-52.83719635
19.83642578,-60.45354843
20.02716064,-50.54756927
20.21789551,-48.40531158
20.40863037,-50.95916748
20.59936523,-53.23871994
20.79010010,-47.90657425
20.98083496,-45.06279373
21.17156982,-48.88374710
21.36230469,-64.74988556
21.55303955,-55.50232315
21.74377441,-53.81122971
21.93450928,-61.04757690
22.12524414,-58.24425125
22.31597900,-58.08515549
22.50671387,-59.95251465
22.69744873,-61.77145004
22.88818359,-55.20442581
23.07891846,-51.17189789
23.26965332,-49.31826019
23.46038818,-49.72144699
23.65112305,-53.96714020
23.84185791,-64.83129883
24.03259277,-50.32572174
24.22332764,-45.94342041
24.41406250,-45.51635742
24.60479736,-49.52009583
24.79553223,-53.75833130
24.98626709,-61.81467056
25.17700195,-56.34714127
25.36773682,-53.90675354
25.55847168,-59.90784073
25.74920654,-56.25728607
25.93994141,-53.62656021
26.13067627,-56.11654282
26.32141113,-69.22820282
26.51214600,-64.96673584
26.70288086,-63.58291245
26.89361572,-66.65360260
27.08435059,-65.24858856
27.27508545,-56.10635757
27.46582031,-53.77014542
27.65655518,-50.07170868
27.84729004,-55.58538055
28.03802490,-51.32373047
28.22875977,-53.58121490
28.41949463,-56.03606415
28.61022949,-48.15488434
28.80096436,-49.45783997
28.99169922,-48.57377625
29.18243408,-46.07318497
29.37316895,-49.47871399
29.56390381,-57.96274185
29.75463867,-64.47908020
29.94537354,-68.86655426
30.13610840,-63.95774078
30.32684326,-59.60316467
30.51757812,-65.06301880
30.70831299,-59.55280685
30.89904785,-56.34080505
31.08978271,-55.89290237
31.28051758,-51.28669739
31.47125244,-48.93587112
31.66198730,-49.73186874
31.85272217,-51.95394135
32.04345703,-54.17021179
32.23419189,-62.06507111
32.42492676,-59.97159576
32.61566162,-50.22623062
32.80639648,-49.21715546
32.99713135,-56.18718719
33.18786621,-65.44210815
33.37860107,-62.93537521
33.56933594,-55.98537827
33.76007080,-53.68093872
33.95080566,-58.98729706
34.14154053,-54.75997925
34.33227539,-54.51644516
34.52301025,-55.82068634
34.71374512,-61.76171875
34.90447998,-55.09828949
35.09521484,-50.62097168
35.28594971,-54.75770569
35.47668457,-63.19800949
35.66741943,-55.31355286
35.85815430,-53.80199051
36.04888916,-56.09363556
36.23962402,-63.57047272
36.43035889,-67.53178406
36.62109375,-60.87484360
