Frequency,Channel A

0.00000000,-36.47231293
0.19073486,-42.70092010
0.38146973,-55.28594971
0.57220459,-45.62242508
0.76293945,-50.33990479
0.95367432,-60.11672592
1.14440918,-55.21935272
1.33514404,-50.61537170
1.52587891,-52.47783661
1.71661377,-45.52498245
1.90734863,-47.18214035
2.09808350,-48.77729034
2.28881836,-52.63729477
2.47955322,-57.55175781
2.67028809,-52.81171417
2.86102295,-53.93165588
3.05175781,-57.89453506
3.24249268,-53.13245392
3.43322754,-64.87448120
3.62396240,-54.18785477
3.81469727,-49.13929749
4.00543213,-56.27268982
4.19616699,-36.63338470
4.38690186,-11.94060898
4.57763672,-0.77110207
4.76837158,1.63646674
4.95910645,-3.82574201
5.14984131,-19.08214378
5.34057617,-50.34399414
5.53131104,-46.19273376
5.72204590,-42.13051224
5.91278076,-34.98792267
6.10351562,-12.56921387
6.29425049,-2.16205502
6.48498535,-0.15544668
6.67572021,-5.94446421
6.86645508,-21.93495178
7.05718994,-40.45311356
7.24792480,-46.45706558
7.43865967,-51.84009171
7.62939453,-52.15080643
7.82012939,-47.00828934
8.01086426,-47.39919281
8.20159912,-47.22985077
8.39233398,-54.52870941
8.58306885,-48.84875488
8.77380371,-51.24794769
8.96453857,-51.64352417
9.15527344,-52.34528351
9.34600830,-52.24940872
9.53674316,-46.52682877
9.72747803,-47.32868958
9.91821289,-47.41420364
10.10894775,-47.18077850
10.29968262,-54.11214447
10.49041748,-65.54756165
10.68115234,-66.54371643
10.87188721,-52.42024994
11.06262207,-44.47084808
11.25335693,-44.43474579
11.44409180,-47.96238708
11.63482666,-50.16295624
11.82556152,-51.34484863
12.01629639,-55.25833130
12.20703125,-52.15625763
12.39776611,-50.76374054
12.58850098,-47.28879547
12.77923584,-45.45902252
12.96997070,-46.60556412
13.16070557,-48.42770004
13.35144043,-49.79011917
13.54217529,-50.05056381
13.73291016,-50.30236816
13.92364502,-60.55129242
14.11437988,-59.78797913
14.30511475,-52.70787811
14.49584961,-49.57656097
14.68658447,-51.05104828
14.87731934,-57.50487900
15.06805420,-54.52844238
15.25878906,-46.76762009
15.44952393,-43.73475647
15.64025879,-44.85876465
15.83099365,-47.98406982
16.02172852,-53.49683762
16.21246338,-55.11878204
16.40319824,-52.14337158
16.59393311,-52.59806061
16.78466797,-52.10316467
16.97540283,-48.55424500
17.16613770,-57.67227173
17.35687256,-65.40277863
17.54760742,-71.54309082
17.73834229,-53.42885590
17.92907715,-47.75335693
18.11981201,-46.50651550
18.31054688,-50.44498444
18.50128174,-53.43402100
18.69201660,-56.28343964
18.88275146,-68.31431580
19.07348633,-56.01307678
19.26422119,-68.42778015
19.45495605,-56.99240875
19.64569092,-59.61395264
19.83642578,-56.08990097
20.02716064,-53.57076263
20.21789551,-51.75070953
20.40863037,-55.64630127
20.59936523,-54.20568085
20.79010010,-52.74664307
20.98083496,-59.26436996
21.17156982,-66.27613831
21.36230469,-57.37953949
21.55303955,-52.66250610
21.74377441,-50.10557175
21.93450928,-54.52346039
22.12524414,-55.39958954
22.31597900,-55.59095001
22.50671387,-56.71302032
22.69744873,-60.09812927
22.88818359,-51.31994247
23.07891846,-52.02690506
23.26965332,-49.40112686
23.46038818,-51.80671310
23.65112305,-51.49738312
23.84185791,-46.76467133
24.03259277,-48.56840515
24.22332764,-52.55773163
24.41406250,-62.75388718
24.60479736,-56.37133789
24.79553223,-52.50221634
24.98626709,-51.40888214
25.17700195,-52.91403198
25.36773682,-81.13150787
25.55847168,-58.15631485
25.74920654,-60.66378784
25.93994141,-59.71303940
26.13067627,-68.26059723
26.32141113,-53.74193192
26.51214600,-51.62590027
26.70288086,-51.70404816
26.89361572,-50.18481827
27.08435059,-56.80624390
27.27508545,-66.60900879
27.46582031,-59.37131882
27.65655518,-52.66404724
27.84729004,-50.65391159
28.03802490,-52.55382919
28.22875977,-51.48996735
28.41949463,-47.66136932
28.61022949,-45.53684616
28.80096436,-45.11891174
28.99169922,-47.06575775
29.18243408,-53.50530243
29.37316895,-55.31780624
29.56390381,-53.00992966
29.75463867,-52.53618240
29.94537354,-55.19749451
30.13610840,-51.43840027
30.32684326,-49.71874237
30.51757812,-55.41016388
30.70831299,-55.85660553
30.89904785,-64.46354675
31.08978271,-54.44116974
31.28051758,-53.08419800
31.47125244,-60.90065765
31.66198730,-70.04977417
31.85272217,-64.74083710
32.04345703,-64.52103424
32.23419189,-55.15235519
32.42492676,-54.07428360
32.61566162,-51.95516586
32.80639648,-50.61473846
32.99713135,-52.88421249
33.18786621,-55.18909836
33.37860107,-62.53242874
33.56933594,-58.02416229
33.76007080,-54.15977097
33.95080566,-56.08296204
34.14154053,-55.98360443
34.33227539,-56.40090561
34.52301025,-55.24302673
34.71374512,-56.15021133
34.90447998,-50.15254211
35.09521484,-47.78482437
35.28594971,-50.43582153
35.47668457,-56.64806747
35.66741943,-55.61521149
35.85815430,-54.55974960
36.04888916,-52.04014206
36.23962402,-52.63758087
36.43035889,-56.70252991
36.62109375,-53.11367035
36.81182861,-60.13261414
37.00256348,-56.79156494
37.19329834,-55.31684494
37.38403320,-68.64559937
37.57476807,-57.77505875
37.76550293,-69.82743835
37.95623779,-56.38882446
38.14697266,-54.38110733
38.33770752,-55.70327759
38.52844238,-46.90441895
38.71917725,-53.15119171
38.90991211,-56.56497955
39.10064697,-52.42748260
39.29138184,-68.91790009
39.48211670,-50.97804642
39.67285156,-47.39341736
39.86358643,-49.35247803
40.05432129,-51.80467987
40.24505615,-55.62992096
40.43579102,-60.87274551
40.62652588,-77.14282227
40.81726074,-57.49978638
41.00799561,-56.88571930
41.19873047,-55.08383942
41.38946533,-53.49032974
41.58020020,-51.08452606
41.77093506,-50.79002380
41.96166992,-51.72571182
42.15240479,-56.18975067
42.34313965,-63.83552933
42.53387451,-59.60148621
42.72460938,-57.93766785
42.91534424,-52.70740128
43.10607910,-49.49272919
43.29681396,-51.81623077
43.48754883,-54.96235657
43.67828369,-53.65325165
43.86901855,-54.32309723
44.05975342,-57.83330917
44.25048828,-62.37482071
44.44122314,-56.68328094
44.63195801,-52.91751862
44.82269287,-51.94265366
45.01342773,-52.33607483
45.20416260,-56.77352142
45.39489746,-51.67749786
45.58563232,-50.14380646
45.77636719,-51.82052231
45.96710205,-48.91348267
46.15783691,-50.33094406
46.34857178,-56.96452332
46.53930664,-59.71381760
46.73004150,-56.39948273
46.92077637,-63.74769211
47.11151123,-52.16404343
47.30224609,-52.13052368
47.49298096,-66.72193909
47.68371582,-73.92600250
47.87445068,-54.29346466
48.06518555,-48.16316223
48.25592041,-49.31470871
48.44665527,-56.76242828
48.63739014,-58.88396835
48.82812500,-53.73055267
49.01885986,-58.40244293
49.20959473,-52.18927765
49.40032959,-52.18888092
49.59106445,-55.00205612
49.78179932,-54.87580109
49.97253418,-55.13260269
50.16326904,-52.27530670
50.35400391,-52.66483307
50.54473877,-56.97385406
50.73547363,-57.78669739
50.92620850,-53.09928894
51.11694336,-57.78876495
51.30767822,-54.04468155
51.49841309,-52.33369827
51.68914795,-61.27088547
51.87988281,-82.72835541
52.07061768,-72.31790924
52.26135254,-55.90071869
52.45208740,-49.29136658
52.64282227,-48.50617218
52.83355713,-50.68206406
53.02429199,-52.60603333
53.21502686,-56.43311310
53.40576172,-61.02805710
53.59649658,-61.70970917
53.78723145,-54.23326492
53.97796631,-57.06919861
54.16870117,-61.32941437
54.35943604,-52.89112854
54.55017090,-55.50897598
54.74090576,-56.20330048
54.93164062,-56.28961945
55.12237549,-60.14047241
55.31311035,-59.98800659
55.50384521,-55.21200562
55.69458008,-52.57609558
55.88531494,-53.22676086
56.07604980,-51.85920715
56.26678467,-51.75502777
56.45751953,-53.62517929
56.64825439,-56.29647827
56.83898926,-59.68898010
57.02972412,-60.35292053
57.22045898,-56.93128586
57.41119385,-53.57638931
57.60192871,-54.13313293
57.79266357,-61.15054703
57.98339844,-63.38010788
58.17413330,-55.70236969
58.36486816,-52.00333023
58.55560303,-53.29855347
58.74633789,-62.13346100
58.93707275,-50.75540924
59.12780762,-49.92692566
59.31854248,-55.24374390
59.50927734,-60.73074341
59.70001221,-57.17454529
59.89074707,-62.88785553
60.08148193,-63.73408890
60.27221680,-56.24666214
60.46295166,-56.54355621
60.65368652,-55.38211060
60.84442139,-54.00931931
61.03515625,-68.75790405
61.22589111,-55.27191544
61.41662598,-54.04170227
61.60736084,-63.69107056
61.79809570,-67.47618866
61.98883057,-56.83973312
62.17956543,-53.88938904
62.37030029,-61.29714966
62.56103516,-55.38288498
62.75177002,-58.61598206
62.94250488,-58.90071487
63.13323975,-56.33818817
63.32397461,-53.88765717
63.51470947,-67.96413422
63.70544434,-59.83531570
63.89617920,-55.55136108
64.08691406,-52.10132599
64.27764893,-52.75224686
64.46838379,-60.40623093
64.65911865,-64.93503571
64.84985352,-70.56369019
65.04058838,-64.66116333
65.23132324,-65.02400970
65.42205811,-52.91217422
65.61279297,-51.38224792
65.80352783,-58.01917648
65.99426270,-57.83027267
66.18499756,-53.27516556
66.37573242,-54.47735596
66.56646729,-60.47391891
66.75720215,-58.62801361
66.94793701,-56.00738144
67.13867188,-68.63879395
67.32940674,-56.02760696
67.52014160,-55.88327408
67.71087646,-53.27630615
67.90161133,-50.69514847
68.09234619,-49.23606873
68.28308105,-49.07825089
68.47381592,-49.67499161
68.66455078,-51.34080505
68.85528564,-64.16018677
69.04602051,-50.64022827
69.23675537,-52.58557892
69.42749023,-56.22087479
69.61822510,-54.78026581
69.80895996,-56.58790970
69.99969482,-52.77359390
70.19042969,-51.35057831
70.38116455,-50.35771942
70.57189941,-49.34413147
70.76263428,-53.90803909
70.95336914,-63.26612473
71.14410400,-68.34763336
71.33483887,-54.48734283
71.52557373,-48.73370743
71.71630859,-52.13526917
71.90704346,-59.71078873
72.09777832,-54.78350830
72.28851318,-55.68981552
72.47924805,-53.92291641
72.66998291,-54.98548126
72.86071777,-52.60298157
73.05145264,-50.37305832
73.24218750,-53.32989120
73.43292236,-57.61941528
73.62365723,-60.51988220
73.81439209,-52.87010956
74.00512695,-52.56330872
74.19586182,-52.09230042
74.38659668,-55.05861282
74.57733154,-67.85940552
74.76806641,-54.81440735
74.95880127,-54.03902054
75.14953613,-60.05929947
75.34027100,-62.83796692
75.53100586,-52.22388458
75.72174072,-50.17224884
75.91247559,-55.51102066
76.10321045,-59.47559738
76.29394531,-56.82880020
76.48468018,-53.76628113
76.67541504,-50.67711639
76.86614990,-49.36678314
77.05688477,-52.00782776
77.24761963,-58.88970947
77.43835449,-59.29920959
77.62908936,-57.31664276
77.81982422,-60.69917297
78.01055908,-57.33034515
78.20129395,-62.64957809
78.39202881,-67.34191132
78.58276367,-65.38369751
78.77349854,-61.32058716
78.96423340,-55.66413498
79.15496826,-53.98814392
79.34570312,-55.23454666
79.53643799,-81.54228210
79.72717285,-53.53385162
79.91790771,-52.85770416
80.10864258,-52.41065216
80.29937744,-54.70589066
80.49011230,-60.80509186
80.68084717,-53.30620193
80.87158203,-55.36218643
81.06231689,-55.43581390
81.25305176,-54.79804993
81.44378662,-55.32508087
81.63452148,-50.96975327
81.82525635,-51.69207001
82.01599121,-66.30312347
82.20672607,-68.88789368
82.39746094,-65.95922852
82.58819580,-58.54398727
82.77893066,-55.46447372
82.96966553,-56.46186447
83.16040039,-55.85267639
83.35113525,-53.03136826
83.54187012,-53.22595978
83.73260498,-59.16055298
83.92333984,-65.78200531
84.11407471,-58.52202606
84.30480957,-57.09845734
84.49554443,-59.62883759
84.68627930,-55.70479965
84.87701416,-53.73022079
85.06774902,-58.58928680
85.25848389,-69.67219543
85.44921875,-60.71016312
85.63995361,-61.81312943
85.83068848,-72.19638062
86.02142334,-64.92975616
86.21215820,-56.18479156
86.40289307,-55.84545898
86.59362793,-55.68794250
86.78436279,-67.30459595
86.97509766,-59.53731155
87.16583252,-64.83093262
87.35656738,-64.28459167
87.54730225,-68.09460449
87.73803711,-53.36479950
87.92877197,-51.47883606
88.11950684,-54.63928986
88.31024170,-56.87141800
88.50097656,-58.76007462
88.69171143,-55.09106445
88.88244629,-51.35928345
89.07318115,-54.78542328
89.26391602,-58.25277710
89.45465088,-63.69975281
89.64538574,-58.72013855
89.83612061,-52.31205368
90.02685547,-50.47430420
90.21759033,-55.77802658
90.40832520,-68.18994904
90.59906006,-63.67091370
90.78979492,-62.10441971
90.98052979,-61.75075150
91.17126465,-59.78237534
91.36199951,-51.65451050
91.55273438,-48.38401413
91.74346924,-47.95534515
91.93420410,-50.31633759
92.12493896,-52.63854218
92.31567383,-54.46499634
92.50640869,-55.58475494
