Time,Channel A

-0.00164500,2.09967351
-0.00100500,1.74687946
-0.00036500,1.57048249
0.00027500,1.21829891
0.00091500,0.68971831
0.00155500,0.51332134
0.00219500,0.16052736
0.00283500,-0.19104587
0.00347500,-0.54383981
0.00411500,-0.89602345
0.00475500,-1.42521441
0.00539500,-1.77739799
0.00603500,-1.95379496
0.00667500,-2.30597854
0.00731500,-2.65877247
0.00795500,-3.01095605
0.00859500,-3.18735313
0.00923500,-3.54014707
0.00987500,-3.89233065
0.01051500,-4.06872749
0.01115500,-4.42091131
0.01179500,-4.59730816
0.01243500,-4.95010233
0.01307500,-5.12588882
0.01371500,-5.47868299
0.01435500,-5.65507984
0.01499500,-5.83086634
0.01563500,-6.00726318
0.01627500,-6.18366051
0.01691500,-6.36005735
0.01755500,-6.53584385
0.01819500,-6.71224117
0.01883500,-6.71224117
0.01947500,-6.88863802
0.02011500,-6.88863802
0.02075500,-6.88863802
0.02139500,-7.06503487
0.02203500,-7.24082136
0.02267500,-7.06503487
0.02331500,-7.06503487
0.02395500,-7.24082136
0.02459500,-7.06503487
0.02523500,-7.24082136
0.02587500,-7.06503487
0.02651500,-7.06503487
0.02715500,-6.88863802
0.02779500,-6.71224117
0.02843500,-6.71224117
0.02907500,-6.53584385
0.02971500,-6.36005735
0.03035500,-6.36005735
0.03099500,-6.18366051
0.03163500,-6.00726318
0.03227500,-5.83086634
0.03291500,-5.83086634
0.03355500,-5.65507984
0.03419500,-5.47868299
0.03483500,-5.30228567
0.03547500,-5.12588882
0.03611500,-4.95010233
0.03675500,-4.59730816
0.03739500,-4.42091131
0.03803500,-4.24512482
0.03867500,-4.06872749
0.03931500,-3.89233065
0.03995500,-3.71593380
0.04059500,-3.36375022
0.04123500,-3.18735313
0.04187500,-3.01095605
0.04251500,-2.83516955
0.04315500,-2.65877247
0.04379500,-2.48237562
0.04443500,-2.30597854
0.04507500,-2.13019204
0.04571500,-1.95379496
0.04635500,-1.77739799
0.04699500,-1.77739799
0.04763500,-1.60100102
0.04827500,-1.42521441
0.04891500,-1.24881744
0.04955500,-1.07242048
0.05019500,-1.07242048
0.05083500,-0.89602345
0.05147500,-0.89602345
0.05211500,-0.72023684
0.05275500,-0.72023684
0.05339500,-0.72023684
0.05403500,-0.54383981
0.05467500,-0.72023684
0.05531500,-0.54383981
0.05595500,-0.54383981
0.05659500,-0.54383981
0.05723500,-0.72023684
0.05787500,-0.72023684
0.05851500,-0.72023684
0.05915500,-0.72023684
0.05979500,-0.72023684
0.06043500,-0.89602345
0.06107500,-0.89602345
0.06171500,-1.07242048
0.06235500,-1.07242048
0.06299500,-1.24881744
0.06363500,-1.42521441
0.06427500,-1.60100102
0.06491500,-1.77739799
0.06555500,-1.77739799
0.06619500,-1.95379496
0.06683500,-2.13019204
0.06747500,-2.30597854
0.06811500,-2.48237562
0.06875500,-2.48237562
0.06939500,-2.65877247
0.07003500,-3.01095605
0.07067500,-3.01095605
0.07131500,-3.36375022
0.07195500,-3.54014707
0.07259500,-3.71593380
0.07323500,-3.89233065
0.07387500,-4.06872749
0.07451500,-4.24512482
0.07515500,-4.42091131
0.07579500,-4.59730816
0.07643500,-4.77370548
0.07707500,-4.95010233
0.07771500,-5.12588882
0.07835500,-5.30228567
0.07899500,-5.30228567
0.07963500,-5.47868299
0.08027500,-5.65507984
0.08091500,-5.83086634
0.08155500,-6.00726318
0.08219500,-6.00726318
0.08283500,-6.00726318
0.08347500,-6.18366051
0.08411500,-6.36005735
0.08475500,-6.36005735
0.08539500,-6.36005735
0.08603500,-6.36005735
0.08667500,-6.53584385
0.08731500,-6.53584385
0.08795500,-6.36005735
0.08859500,-6.53584385
0.08923500,-6.36005735
0.08987500,-6.18366051
0.09051500,-6.36005735
0.09115500,-6.18366051
0.09179500,-6.00726318
0.09243500,-6.00726318
0.09307500,-6.00726318
0.09371500,-5.83086634
0.09435500,-5.65507984
0.09499500,-5.47868299
0.09563500,-5.30228567
0.09627500,-5.12588882
0.09691500,-5.12588882
0.09755500,-4.77370548
0.09819500,-4.42091131
0.09883500,-4.24512482
0.09947500,-4.06872749
0.10011500,-3.89233065
0.10075500,-3.71593380
0.10139500,-3.36375022
0.10203500,-3.01095605
0.10267500,-2.83516955
0.10331500,-2.65877247
0.10395500,-2.30597854
0.10459500,-1.95379496
0.10523500,-1.77739799
0.10587500,-1.42521441
0.10651500,-1.07242048
0.10715500,-0.89602345
0.10779500,-0.36744285
0.10843500,-0.19104587
0.10907500,0.16052736
0.10971500,0.51332134
0.11035500,0.86550492
0.11099500,1.04190195
0.11163500,1.39469588
0.11227500,1.74687946
0.11291500,1.92327642
0.11355500,2.27546000
0.11419500,2.45185709
0.11483500,2.98043752
0.11547500,3.15683460
0.11611500,3.33323169
0.11675500,3.68541527
0.11739500,4.03820896
0.11803500,4.03820896
0.11867500,4.39039278
0.11931500,4.56678963
0.11995500,4.74318695
0.12059500,5.09537029
0.12123500,5.27176714
0.12187500,5.44816446
0.12251500,5.44816446
0.12315500,5.62456131
0.12379500,5.80034781
0.12443500,5.97674465
0.12507500,6.15314198
0.12571500,6.15314198
0.12635500,6.32953882
0.12699500,6.32953882
0.12763500,6.32953882
0.12827500,6.50532532
0.12891500,6.50532532
0.12955500,6.50532532
0.13019500,6.68172264
0.13083500,6.50532532
0.13147500,6.50532532
0.13211500,6.50532532
0.13275500,6.50532532
