Time,Channel A

-0.00144200,1.74687946
-0.00080200,1.57048249
-0.00016200,1.39469588
0.00047800,1.21829891
0.00111800,1.21829891
0.00175800,1.04190195
0.00239800,1.04190195
0.00303800,0.86550492
0.00367800,0.86550492
0.00431800,0.68971831
0.00495800,0.51332134
0.00559800,0.51332134
0.00623800,0.33692434
0.00687800,0.33692434
0.00751800,0.16052736
0.00815800,-0.01525925
0.00879800,-0.19104587
0.00943800,-0.19104587
0.01007800,-0.36744285
0.01071800,-0.36744285
0.01135800,-0.54383981
0.01199800,-0.72023684
0.01263800,-0.89602345
0.01327800,-0.89602345
0.01391800,-1.07242048
0.01455800,-1.24881744
0.01519800,-1.42521441
0.01583800,-1.60100102
0.01647800,-1.60100102
0.01711800,-1.77739799
0.01775800,-1.95379496
0.01839800,-1.95379496
0.01903800,-2.13019204
0.01967800,-2.30597854
0.02031800,-2.48237562
0.02095800,-2.48237562
0.02159800,-2.65877247
0.02223800,-2.83516955
0.02287800,-3.01095605
0.02351800,-3.18735313
0.02415800,-3.18735313
0.02479800,-3.36375022
0.02543800,-3.54014707
0.02607800,-3.71593380
0.02671800,-3.71593380
0.02735800,-3.89233065
0.02799800,-3.89233065
0.02863800,-4.06872749
0.02927800,-4.06872749
0.02991800,-4.24512482
0.03055800,-4.42091131
0.03119800,-4.59730816
0.03183800,-4.77370548
0.03247800,-4.77370548
0.03311800,-4.95010233
0.03375800,-5.12588882
0.03439800,-5.12588882
0.03503800,-5.30228567
0.03567800,-5.30228567
0.03631800,-5.47868299
0.03695800,-5.47868299
0.03759800,-5.65507984
0.03823800,-5.83086634
0.03887800,-5.83086634
0.03951800,-6.00726318
0.04015800,-6.00726318
0.04079800,-6.00726318
0.04143800,-6.00726318
0.04207800,-6.18366051
0.04271800,-6.18366051
0.04335800,-6.53584385
0.04399800,-6.53584385
0.04463800,-6.53584385
0.04527800,-6.53584385
0.04591800,-6.71224117
0.04655800,-6.71224117
0.04719800,-6.88863802
0.04783800,-6.88863802
0.04847800,-6.88863802
0.04911800,-6.88863802
0.04975800,-6.88863802
0.05039800,-6.88863802
0.05103800,-7.06503487
0.05167800,-6.88863802
0.05231800,-7.06503487
0.05295800,-7.06503487
0.05359800,-7.06503487
0.05423800,-7.06503487
0.05487800,-7.06503487
0.05551800,-7.06503487
0.05615800,-7.06503487
0.05679800,-7.06503487
0.05743800,-7.06503487
0.05807800,-7.06503487
0.05871800,-7.06503487
0.05935800,-6.88863802
0.05999800,-7.06503487
0.06063800,-6.88863802
0.06127800,-6.88863802
0.06191800,-6.88863802
0.06255800,-6.71224117
