Time,Channel A

-0.00134600,1.74687946
-0.00070600,1.57048249
-0.00006600,1.39469588
0.00057400,1.21829891
0.00121400,1.04190195
0.00185400,0.86550492
0.00249400,0.51332134
0.00313400,0.51332134
0.00377400,0.33692434
0.00441400,0.16052736
0.00505400,-0.01525925
0.00569400,-0.36744285
0.00633400,-0.36744285
0.00697400,-0.72023684
0.00761400,-0.89602345
0.00825400,-1.07242048
0.00889400,-1.24881744
0.00953400,-1.42521441
0.01017400,-1.77739799
0.01081400,-1.95379496
0.01145400,-2.13019204
0.01209400,-2.30597854
0.01273400,-2.48237562
0.01337400,-2.65877247
0.01401400,-3.01095605
0.01465400,-3.18735313
0.01529400,-3.36375022
0.01593400,-3.54014707
0.01657400,-3.71593380
0.01721400,-3.89233065
0.01785400,-4.06872749
0.01849400,-4.24512482
0.01913400,-4.42091131
0.01977400,-4.77370548
0.02041400,-4.95010233
0.02105400,-5.12588882
0.02169400,-5.30228567
0.02233400,-5.47868299
0.02297400,-5.65507984
0.02361400,-5.83086634
0.02425400,-6.00726318
0.02489400,-6.18366051
0.02553400,-6.36005735
0.02617400,-6.53584385
0.02681400,-6.71224117
0.02745400,-6.88863802
0.02809400,-7.06503487
0.02873400,-7.24082136
0.02937400,-7.41721869
0.03001400,-7.41721869
0.03065400,-7.59361553
0.03129400,-7.77001238
0.03193400,-7.77001238
0.03257400,-7.94579935
0.03321400,-7.94579935
0.03385400,-8.12219620
0.03449400,-8.29859352
0.03513400,-8.29859352
0.03577400,-8.47498989
0.03641400,-8.47498989
0.03705400,-8.65077686
0.03769400,-8.65077686
0.03833400,-8.65077686
0.03897400,-8.82717323
0.03961400,-8.82717323
0.04025400,-8.82717323
0.04089400,-8.82717323
0.04153400,-9.00357056
0.04217400,-9.00357056
0.04281400,-9.00357056
0.04345400,-9.00357056
0.04409400,-9.00357056
0.04473400,-9.00357056
0.04537400,-9.00357056
0.04601400,-9.00357056
0.04665400,-9.00357056
0.04729400,-9.00357056
0.04793400,-8.82717323
0.04857400,-8.82717323
0.04921400,-8.82717323
0.04985400,-8.82717323
0.05049400,-8.82717323
0.05113400,-8.65077686
0.05177400,-8.65077686
0.05241400,-8.65077686
0.05305400,-8.47498989
0.05369400,-8.47498989
0.05433400,-8.29859352
0.05497400,-8.12219620
0.05561400,-8.12219620
0.05625400,-7.94579935
0.05689400,-7.94579935
0.05753400,-7.77001238
0.05817400,-7.59361553
0.05881400,-7.41721869
0.05945400,-7.41721869
0.06009400,-7.24082136
0.06073400,-6.88863802
0.06137400,-6.71224117
0.06201400,-6.53584385
0.06265400,-6.53584385
0.06329400,-6.36005735
0.06393400,-6.00726318
0.06457400,-6.00726318
0.06521400,-5.83086634
0.06585400,-5.65507984
0.06649400,-5.30228567
0.06713400,-5.12588882
0.06777400,-4.95010233
0.06841400,-4.77370548
0.06905400,-4.59730816
0.06969400,-4.42091131
0.07033400,-4.06872749
0.07097400,-3.89233065
0.07161400,-3.71593380
0.07225400,-3.54014707
0.07289400,-3.18735313
0.07353400,-3.01095605
0.07417400,-2.83516955
0.07481400,-2.48237562
0.07545400,-2.30597854
0.07609400,-2.13019204
