Time,Channel A

-0.00166900,2.27546000
-0.00102900,1.92327642
-0.00038900,1.57048249
0.00025100,1.04190195
0.00089100,0.51332134
0.00153100,0.33692434
0.00217100,-0.19104587
0.00281100,-0.54383981
0.00345100,-0.89602345
0.00409100,-1.24881744
0.00473100,-1.60100102
0.00537100,-1.95379496
0.00601100,-2.13019204
0.00665100,-2.48237562
0.00729100,-2.65877247
0.00793100,-2.83516955
0.00857100,-3.18735313
0.00921100,-3.18735313
0.00985100,-3.36375022
0.01049100,-3.36375022
0.01113100,-3.54014707
0.01177100,-3.71593380
0.01241100,-3.71593380
0.01305100,-3.71593380
0.01369100,-3.71593380
0.01433100,-3.54014707
0.01497100,-3.54014707
0.01561100,-3.54014707
0.01625100,-3.36375022
0.01689100,-3.18735313
0.01753100,-3.01095605
0.01817100,-3.01095605
0.01881100,-2.83516955
0.01945100,-2.48237562
0.02009100,-2.30597854
0.02073100,-2.13019204
0.02137100,-1.95379496
0.02201100,-1.77739799
0.02265100,-1.60100102
0.02329100,-1.24881744
0.02393100,-0.89602345
0.02457100,-0.72023684
0.02521100,-0.54383981
0.02585100,-0.36744285
0.02649100,-0.19104587
0.02713100,0.16052736
0.02777100,0.16052736
0.02841100,0.33692434
0.02905100,0.51332134
0.02969100,0.68971831
0.03033100,0.86550492
0.03097100,0.86550492
0.03161100,0.86550492
0.03225100,1.04190195
0.03289100,1.04190195
0.03353100,1.21829891
0.03417100,1.04190195
0.03481100,1.04190195
0.03545100,1.04190195
0.03609100,0.86550492
0.03673100,0.68971831
0.03737100,0.51332134
0.03801100,0.33692434
0.03865100,0.33692434
0.03929100,0.16052736
0.03993100,-0.19104587
0.04057100,-0.36744285
0.04121100,-0.54383981
0.04185100,-0.89602345
0.04249100,-1.24881744
0.04313100,-1.60100102
0.04377100,-1.77739799
0.04441100,-2.13019204
0.04505100,-2.48237562
0.04569100,-2.83516955
0.04633100,-3.18735313
0.04697100,-3.54014707
0.04761100,-3.89233065
0.04825100,-4.24512482
