Frequency,Channel A

0.00000000,-28.21559906
0.19073486,-35.16178513
0.38146973,-49.10482407
0.57220459,-56.71514130
0.76293945,-52.68367767
0.95367432,-61.92482376
1.14440918,-63.84258652
1.33514404,-56.39562988
1.52587891,-49.63766479
1.71661377,-51.95849609
1.90734863,-50.40819550
2.09808350,-58.75018692
2.28881836,-59.72252655
2.47955322,-58.32521820
2.67028809,-57.08213806
2.86102295,-51.71495056
3.05175781,-51.37145233
3.24249268,-51.10174179
3.43322754,-53.70958328
3.62396240,-50.10198212
3.81469727,-48.53501129
4.00543213,-51.52434540
4.19616699,-35.24095535
4.38690186,-11.70262718
4.57763672,-0.70294273
4.76837158,1.70609415
4.95910645,-3.71158886
5.14984131,-18.88586617
5.34057617,-48.55701065
5.53131104,-45.24742508
5.72204590,-58.57135010
5.91278076,-44.48303223
6.10351562,-47.06193924
6.29425049,-48.59490967
6.48498535,-53.61725616
6.67572021,-50.40043640
6.86645508,-49.61139297
7.05718994,-67.59619141
7.24792480,-55.12535477
7.43865967,-48.16515350
7.62939453,-47.76595306
7.82012939,-50.61019135
8.01086426,-48.25485992
8.20159912,-51.27159882
8.39233398,-60.86761475
8.58306885,-52.59449005
8.77380371,-48.27262497
8.96453857,-47.50691986
9.15527344,-53.97981262
9.34600830,-60.22361755
9.53674316,-46.39168167
9.72747803,-46.14226913
9.91821289,-44.55091095
10.10894775,-46.24402618
10.29968262,-45.23530960
10.49041748,-45.70932388
10.68115234,-27.40474701
10.87188721,-13.03575516
11.06262207,-6.93614435
11.25335693,-8.10538769
11.44409180,-16.80230522
11.63482666,-32.92746735
11.82556152,-47.40091705
12.01629639,-53.58981323
12.20703125,-48.46892548
12.39776611,-50.75821304
12.58850098,-56.85658264
12.77923584,-54.15910721
12.96997070,-60.11860657
13.16070557,-50.32138062
13.35144043,-52.06945801
13.54217529,-49.63167572
13.73291016,-44.85704803
13.92364502,-46.80015945
14.11437988,-54.35304260
14.30511475,-56.82188034
14.49584961,-48.40398788
14.68658447,-50.46649933
14.87731934,-54.61847687
15.06805420,-56.68198395
15.25878906,-82.69894409
15.44952393,-59.63222885
15.64025879,-62.44873047
15.83099365,-59.67206955
16.02172852,-50.89422607
16.21246338,-49.82281113
16.40319824,-50.24221420
16.59393311,-55.54366684
16.78466797,-59.72365570
16.97540283,-53.88195038
17.16613770,-54.68292236
17.35687256,-49.83472824
17.54760742,-47.41393661
17.73834229,-47.58291626
17.92907715,-49.47676849
18.11981201,-52.03183746
18.31054688,-54.80651474
18.50128174,-50.63310623
18.69201660,-49.75688553
18.88275146,-59.51647186
19.07348633,-57.33337784
19.26422119,-53.06695938
19.45495605,-54.27082443
19.64569092,-57.14303970
19.83642578,-55.32114029
20.02716064,-46.64218140
20.21789551,-42.97623444
20.40863037,-44.01096344
20.59936523,-48.06173706
20.79010010,-56.30167389
20.98083496,-73.54488373
21.17156982,-56.94297791
21.36230469,-48.55353546
21.55303955,-45.88336945
21.74377441,-46.52751160
21.93450928,-55.58597946
22.12524414,-65.82083893
22.31597900,-63.08315277
22.50671387,-61.93111801
22.69744873,-51.09193420
22.88818359,-50.13908768
23.07891846,-55.01469421
23.26965332,-52.18689346
23.46038818,-52.14475632
23.65112305,-49.60282898
23.84185791,-49.73620987
24.03259277,-51.91925430
24.22332764,-56.40069580
24.41406250,-55.10644913
24.60479736,-55.48427963
24.79553223,-56.92532349
24.98626709,-60.69406128
25.17700195,-59.19824219
25.36773682,-53.93628693
25.55847168,-56.10330582
25.74920654,-57.68695450
25.93994141,-50.18494415
26.13067627,-49.30688477
26.32141113,-49.49508667
26.51214600,-51.46942139
26.70288086,-60.10443878
26.89361572,-71.67540741
27.08435059,-58.53414917
27.27508545,-51.17723465
27.46582031,-52.52644348
27.65655518,-56.15462875
27.84729004,-75.66004944
28.03802490,-58.02149963
28.22875977,-53.69631958
28.41949463,-55.21079636
28.61022949,-57.59127045
28.80096436,-60.11766815
28.99169922,-76.97750854
29.18243408,-57.68467331
29.37316895,-54.92122650
29.56390381,-65.06491089
29.75463867,-61.32039642
29.94537354,-55.55991364
30.13610840,-49.92011642
30.32684326,-48.82801437
30.51757812,-55.37206650
30.70831299,-53.59967804
30.89904785,-52.99645233
31.08978271,-50.49947739
31.28051758,-50.95403290
31.47125244,-58.00547791
31.66198730,-58.51417542
31.85272217,-55.71237183
32.04345703,-57.06346130
32.23419189,-64.52326965
32.42492676,-58.75807190
32.61566162,-66.15193176
32.80639648,-54.77340317
32.99713135,-55.18383408
33.18786621,-65.54337311
33.37860107,-52.84370041
33.56933594,-51.66463852
33.76007080,-56.62567139
33.95080566,-61.35032272
34.14154053,-53.46322632
34.33227539,-49.32258606
34.52301025,-53.77316284
34.71374512,-61.14117432
34.90447998,-54.35879135
35.09521484,-54.40821838
35.28594971,-51.13331604
35.47668457,-50.21820450
35.66741943,-51.45959854
35.85815430,-52.04013824
36.04888916,-54.96219635
36.23962402,-60.58074951
36.43035889,-72.46048737
36.62109375,-73.81439209
36.81182861,-65.67580414
37.00256348,-59.85222244
37.19329834,-56.94657898
37.38403320,-58.61288452
37.57476807,-60.03347397
37.76550293,-50.62259674
37.95623779,-50.43168640
38.14697266,-54.63244629
38.33770752,-51.99309540
38.52844238,-47.50749969
38.71917725,-48.98740387
38.90991211,-52.96785355
39.10064697,-46.55197525
39.29138184,-47.85652542
39.48211670,-48.81744766
39.67285156,-45.75530243
39.86358643,-45.52337265
40.05432129,-47.94931412
40.24505615,-49.26370621
40.43579102,-47.83220673
40.62652588,-52.68590546
40.81726074,-60.03593063
41.00799561,-52.08687210
41.19873047,-54.46926117
41.38946533,-57.57723236
41.58020020,-61.77793884
41.77093506,-66.07726288
41.96166992,-54.06880188
42.15240479,-49.15390396
42.34313965,-48.09944534
42.53387451,-51.99773788
42.72460938,-60.02215958
42.91534424,-60.03849030
43.10607910,-53.88662338
43.29681396,-51.00772095
43.48754883,-50.77039337
43.67828369,-54.97478104
43.86901855,-72.16324615
44.05975342,-59.85292816
44.25048828,-50.73472977
44.44122314,-49.84142303
44.63195801,-51.48734665
44.82269287,-58.22853088
45.01342773,-57.20331192
45.20416260,-52.42948914
45.39489746,-50.05038452
45.58563232,-50.66013718
45.77636719,-54.83918762
45.96710205,-55.11588287
46.15783691,-61.61730194
46.34857178,-53.23053741
