Time,Channel A

-0.00139300,1.74687946
-0.00075300,1.57048249
-0.00011300,1.39469588
0.00052700,1.21829891
0.00116700,1.04190195
0.00180700,0.86550492
0.00244700,0.86550492
0.00308700,0.68971831
0.00372700,0.51332134
0.00436700,0.33692434
0.00500700,0.16052736
0.00564700,-0.01525925
0.00628700,-0.19104587
0.00692700,-0.36744285
0.00756700,-0.54383981
0.00820700,-0.72023684
0.00884700,-0.89602345
0.00948700,-1.07242048
0.01012700,-1.24881744
0.01076700,-1.42521441
0.01140700,-1.60100102
0.01204700,-1.77739799
0.01268700,-1.95379496
0.01332700,-2.13019204
0.01396700,-2.30597854
0.01460700,-2.48237562
0.01524700,-2.65877247
0.01588700,-2.83516955
0.01652700,-3.01095605
0.01716700,-3.18735313
0.01780700,-3.36375022
0.01844700,-3.54014707
0.01908700,-3.71593380
0.01972700,-3.89233065
0.02036700,-3.89233065
0.02100700,-4.24512482
0.02164700,-4.42091131
0.02228700,-4.59730816
0.02292700,-4.77370548
0.02356700,-4.95010233
0.02420700,-5.12588882
0.02484700,-5.30228567
0.02548700,-5.30228567
0.02612700,-5.65507984
0.02676700,-5.65507984
0.02740700,-5.83086634
0.02804700,-6.00726318
0.02868700,-6.18366051
0.02932700,-6.36005735
0.02996700,-6.53584385
0.03060700,-6.53584385
0.03124700,-6.71224117
0.03188700,-6.88863802
0.03252700,-6.88863802
0.03316700,-7.24082136
0.03380700,-7.24082136
0.03444700,-7.24082136
0.03508700,-7.41721869
0.03572700,-7.59361553
0.03636700,-7.59361553
0.03700700,-7.77001238
0.03764700,-7.94579935
0.03828700,-7.94579935
0.03892700,-7.94579935
0.03956700,-8.12219620
0.04020700,-8.12219620
0.04084700,-8.12219620
0.04148700,-8.29859352
0.04212700,-8.29859352
0.04276700,-8.29859352
0.04340700,-8.47498989
0.04404700,-8.47498989
0.04468700,-8.47498989
0.04532700,-8.47498989
0.04596700,-8.47498989
0.04660700,-8.65077686
0.04724700,-8.65077686
0.04788700,-8.65077686
0.04852700,-8.65077686
0.04916700,-8.65077686
0.04980700,-8.65077686
0.05044700,-8.65077686
0.05108700,-8.47498989
0.05172700,-8.47498989
0.05236700,-8.47498989
0.05300700,-8.29859352
0.05364700,-8.29859352
0.05428700,-8.29859352
0.05492700,-8.12219620
0.05556700,-8.12219620
0.05620700,-8.12219620
0.05684700,-8.12219620
0.05748700,-7.94579935
0.05812700,-7.94579935
0.05876700,-7.77001238
0.05940700,-7.59361553
0.06004700,-7.59361553
0.06068700,-7.41721869
0.06132700,-7.24082136
0.06196700,-7.24082136
0.06260700,-7.06503487
0.06324700,-6.88863802
0.06388700,-6.88863802
0.06452700,-6.71224117
0.06516700,-6.53584385
0.06580700,-6.36005735
0.06644700,-6.18366051
0.06708700,-6.00726318
0.06772700,-6.00726318
0.06836700,-5.83086634
0.06900700,-5.47868299
0.06964700,-5.30228567
0.07028700,-5.30228567
0.07092700,-5.12588882
0.07156700,-4.77370548
0.07220700,-4.59730816
0.07284700,-4.42091131
0.07348700,-4.24512482
0.07412700,-3.89233065
0.07476700,-3.89233065
0.07540700,-3.71593380
0.07604700,-3.36375022
0.07668700,-3.18735313
0.07732700,-3.01095605
0.07796700,-2.83516955
0.07860700,-2.48237562
0.07924700,-2.30597854
0.07988700,-2.13019204
0.08052700,-1.95379496
0.08116700,-1.77739799
0.08180700,-1.42521441
0.08244700,-1.24881744
0.08308700,-1.07242048
0.08372700,-0.89602345
0.08436700,-0.54383981
0.08500700,-0.36744285
0.08564700,-0.19104587
0.08628700,0.16052736
0.08692700,0.33692434
0.08756700,0.51332134
0.08820700,0.86550492
0.08884700,1.04190195
0.08948700,1.21829891
0.09012700,1.57048249
0.09076700,1.74687946
0.09140700,1.92327642
0.09204700,2.09967351
0.09268700,2.45185709
0.09332700,2.62825394
0.09396700,2.80465102
0.09460700,3.15683460
0.09524700,3.33323169
0.09588700,3.50962853
0.09652700,3.68541527
0.09716700,3.86181211
0.09780700,4.03820896
0.09844700,4.21460629
0.09908700,4.39039278
0.09972700,4.56678963
